parentid,childid,body,category
4,5,通年ではハイテク株の多いナスダック指数が最も成績がよく9.8％の値上がり,00001000000
4,14,年間ではエクソンが22％強、シェブロンが約27％、値上がりした,00001000000
62,4,日銀は12月に景気判断を下方修正し、景気循環メカニズム自体が弱まっているとの見方に傾いているが、一方で消費者物価指数（CPI）は原油高の影響もあり上昇傾向に転じている,00001000000
85,4,日銀は12月に景気判断を下方修正し、景気循環メカニズム自体が弱まっているとの見方に傾いているが、一方で消費者物価指数（CPI）は原油高の影響もあり上昇傾向に転じている,00001000000
105,3,また「消費者物価指数（CPI）も高水準にある,00001000000
134,1,ニューヨークが下がると東京がそれを超えて値下がりする,00001000000
180,5,全米リアルター協会（NAR）が発表した11月の住宅販売保留指数は、前月比で低下した,10001000000
194,4,ハイオクは165.2円となり、前回の165.9円から、灯油店頭価格も18リットル当たり1753円と、前回の1755円から、ともに値下がりした,00001000000
331,8,日銀は金融政策運営に当たり、中長期的にみて物価が安定していると各政策委員が理解する物価上昇率（中長期的な物価安定の理解）を、CPIの前年比で0─2％程度と公表している,00001000000
356,1,消費者物価指数（CPI）はようやく上昇基調を鮮明にしつつあるが、石油製品の値上がりによるもので、むしろ賃金の抑制傾向が続く局面では、景気に対する負の側面が強いと判断している,00001000000
356,6,現在のCPIの上昇は石油製品の値上がりによるもので、需給ギャップのタイト化によるものではないためだ,00001000000
356,9,唯一、生活必需品の値上がりをきっかけとしたインフレ期待の高まりが気がかりだが、これについても賃金の上昇期待が膨らまない中では、消費抑制景気減速という負の側面が強く、結局、景気に配慮した政策運営が続きそうだ,00001000000
363,8,14日の週は、卸売物価指数（PPI）や消費者物価指数（CPI）、小売売上高、住宅着工件数、企業在庫など主要指標の発表もあり、注目材料となる見通し,10001000000
538,13,「物価見通し」については、日ごろ購入するものについて、今後1年間の物価上昇率について聞いている,00001000000
548,10,物価は、「石油製品及びその他特殊要因を除く総合指数」（いわゆるコアコア指数）で基調を判断することとし、引き続きゼロ近傍で推移しているため、物価の基調は「横ばい」で据え置いたが、食料品や石油関連製品などの値上がりは個人消費に直接影響を与えかねないため、生鮮食品を除く総合指数（いわゆるコア指数）で11月に0.4％の上昇となったことも踏まえ、「このところ石油製品を中心に上昇している」と付け加えた,00001010000
551,1,08年の消費者物価指数（CPI）上昇率については、07年の4.8％（推定）から4.5％にやや低下する見通しとした,00001000000
561,4,ゼネラルエレクトリック（GE）(GE.N)やIBM(IBM.N)の好決算、予想を上回る1月ミシガン大消費者信頼感指数（速報値）で、相場は一時上昇する場面もみられた,00001000000
565,2,一方、日本では消費者物価指数（CPI）の伸びが拡大する見通しだが、円買いは限定的とみられている,00001000000
573,7,11月の消費者物価指数（CPI）は前年比6.9％上昇,00001000000
573,8,食品の大幅な値上がりで過去11年で最も高い上昇率となった,00001000000
581,4,11月の消費者物価指数（CPI）は、豚肉、野菜など食品の大幅な値上がりで、前年比上昇率が過去11年で最大となった,00001000000
