parentid,childid,body,category
4,9,一方、サブプライムローン（信用度の低い借り手向け住宅ローン）問題の影響から、銀行住宅ローン金融保証住宅建設の各セクターは株価が年間で軒並み50％を超える下げとなった,00100000000
4,18,年間では株価が倍以上となった新年1月1日の株式市場は休場となる,00100000000
31,1,銀行株が売られたものの、堅調な米株式市場や石油株の上げで、下げ幅を縮小して引けた,00100000000
31,10,銀行株は引き続き軟調となり、UBSUBSN.VX、サンタンデール(SAN.MC)、クレディスイスCSGN.VXが売られた,00100000000
39,4,新年初日の2日の米国株式市場はダウが200ドルを超える大幅下落となった,00100000000
45,0,渡辺喜美金融担当相は2008年の東京証券取引所の大発会であいさつした後、記者団に対しきょうの株安について「米国株安などによるもので、PER15倍の日本株は割安だ」との見方を示した,00100000000
46,1,円債市場では、株安を材料に買いが優勢になって10年債長期国債利回り（長期金利）<0#JPTSY=JBTC>は一時、1.465％まで低下した,00100000000
46,2,年初の米株式市場で株安の展開になっていることに加え、原油が1バレル＝100ドルを超す高値を付け、円高も加わって株式市場では買い手不在になっている,00100000001
46,3,ただ、オーバーシュートとの声も出ており、週明けに株価が反発するとの見通しも出ている,00100000000
46,12,きょうの相場は下げ過ぎとの声は少なくなく、大和住銀投信投資顧問チーフストラテジストの門司総一郎氏は「今晩発表の12月米国雇用統計が弱い数字となることは、日本株に織り込んでいるようなので、予想比下振れにでもならない限り、（週明けは）日経平均で100─200円程度の反発が期待できる」と述べている,00100000000
50,0,大発会の東京株式市場で日経平均株価は大幅続落のスタートとなった,00100000000
50,6,日本株は昨年12月18日あたりから上昇していた銘柄も多く、一回売ってポジションを閉じる動きが出ている,00100000000
62,1,4日の東京株式市場で日経平均株価が急落し、外国為替市場では円高／ドル安が進んだことを受け、市場参加者からはいったん4日とは反対方向の取り引きが先行するとの声が出ている,00100000000
62,2,ただ、米景気先行きに対する悲観的な見方は依然として根強く、基調として株安や円高方向の動きが継続するとの見方が多くなっている,00100000000
72,6,むしろ、米国でマクロ面の弱さを示す経済指標が出たり、米決算の発表を前に企業ガイダンスで慎重な内容になるなど、株価にとってマイナスとなる材料が出る可能性があるため、反発エネルギーはそれほど強くないとの見方だ,00100000000
72,7,来週の日経平均株価の予想レンジは、1万4500円─1万5300円,00100000000
72,15,「来週以降も日本株は為替や米株動向などの外部要因に左右されやすい相場となりそうだ,00100000000
79,0,セブン&アイホールディングス(3382.T)が子会社のセブン銀行を早ければ2月にもジャスダック市場に上場させる計画を進めていることが6日、分かった,00100000000
79,2,関係筋によると、すでにジャスダックに上場申請を行っており、認められれば2月にも上場する,00100000000
79,4,大株主のセブン&アイHDのグループ各社が発行済み株式の50％弱を保有しているが、関係筋によると、上場に当たっては保有株式を手放さない,00100000000
79,6,時価総額は2000－3000億円になる見込み,00100000000
81,4,むしろ、米国でマクロ面の弱さを示す経済指標が出たり、米企業決算の発表を前に企業ガイダンスが慎重な内容になるなど、株価にとってマイナスの材料が出る可能性があるため、反発エネルギーはそれほど強くないとみられている,00100000000
81,5,今週の日経平均株価の予想レンジは、1万4500円─1万5300円,00100000000
81,11,「今週も日本株は為替や米株動向などの外部要因に左右されやすい相場となりそうだ,00100000000
82,8,12月の米雇用統計で失業率が上昇し、リセッション（景気後退）観測が強まったことを背景にダウが終値で前日比250ドルを超す大幅下落となったほか、ナスダックはほぼ1年ぶりの大幅な下げとなった,01100000000
85,1,市場では、米国経済のリセッション（景気後退）懸念が日々強まる状況となっており、基調として株安や円高方向の動きが継続するとの見方が多くなっている,00100000000
96,7,円高のリスクは依然として残っており、それに影響を与えるのは米国景気のスローダウンや株価の動きだろう,00100000000
101,0,野村証券は6日、2007年第4四半期の上昇相場を受けて湾岸アラブ諸国の株式市場には「割安銘柄」がほとんど見当たらなくなったものの、引き続き同地域の景気拡大の波に乗り遅れまいとする外国人投資家からの資金流入は続く、との見通しを示した,00100000010
101,3,アラブ諸国最大の株式市場であるサウジアラビア市場は昨年第4四半期に43％上昇,00100000000
104,4,今月中旬から始まる米銀決算への警戒感は強く、株安／円高連鎖のリスクは抱えたままだ,00100000000
104,5,＜金法個人が打診買い＞株式市場では日経平均が一時250円を超えて下げる場面もあった,00100000000
104,7,株価の反発力も限られている,00100000000
104,11,昨年末以降の株安により東証1部の配当利回りは1.7％近辺まで上昇し、10年長期国債利回りを上回る状況となっている,00100000000
108,6,同会長は、08年の日経平均株価の見通しについて1万4000円から2万円との幅を示しつつ、現在の日本株について「売られ過ぎれている」と指摘した,00100000000
108,10,日経平均株価は「1万8000円以上はいけると信じたい」と語った,00100000000
122,0,リポートは、日本株のバリュエーションは割高感が薄れ、金利環境も良好に推移しているが、日本のストラテジストは利益成長の伸びが低いため慎重姿勢を崩していない、と指摘した,00100000000
123,7,一方で、日本株は割安感が強い,00100000000
125,1,前週4日に発表された弱い米雇用統計を受けて、医薬品や消費財などディフェンシブ銘柄に買いが入るなか、ダウとS&P500が反発,00100000000
125,3,医薬品大手メルク(MRK.N)やたばこ大手アルトリアグループ(MO.N)などがディフェンシブ銘柄として買われ、取引終盤でのダウとS&Pの上昇に貢献した,00100000000
133,2,＜年度内の予算成立を＞年明けのマーケットは、米国市場の原油先物価格が一時1バレル＝100ドルを突破したほか、大幅な株安に見舞われるなど、波乱の幕開けとなっている,00100000000
134,0,渡辺喜美金融担当相は8日の閣議後の記者会見で、昨年末からの株安について「ニューヨーク市場と連動している側面が強い,00100000000
140,0,8日の東京市場は株安、債券小じっかりの展開,00100000000
140,1,株式市場には海外勢からの売りが相変わらず続いており、底入れのきっかけがつかめない状況だ,00100000000
140,5,＜海外勢の株売り続く＞株式市場では日経平均が5日続落,00100000000
140,11,大和証券投資信託委託のシニアストラテジスト、長野吉納氏は「米景気減速への懸念はあるが、米国の利下げや景気対策が期待できるので、日本も含めて世界的に株価は下支えされる」としながらも「国内の投資家が不在で市場に活気がない,00100000000
143,9,最近の日本株は売られすぎとの見方は強い,00100000000
143,10,大和証券投資信託委託シニアストラテジストの長野吉納氏は「世界の中で日本株が一番下がっている,00100000000
166,3,カントリーワイド株は売買停止となっていたが、声明発表を受けて取引が再開された,00100000000
166,4,売買停止前は一時約25％下落し5.76ドルをつけたが、取引再開後は1.05ドル（13.7％）安の6.59ドルと、下げ幅を縮小している,00100000000
170,7,ダウの年明け5営業日の下落率は1978年以降で最悪、S&Pは過去最悪となった,00100000000
171,12,日本株はテクニカル的には十分、自律反発の水準にあるものの、米国の実体経済や原油価格など外部環境の悪化が重しとなっている,00100000001
174,1,ダウの下落率は5.09％で、1978年以来の不調な出だしとなった,00100000000
175,2,前日の米国株式市場が大幅に下落し、ダウの年明け5営業日の下落率は1978年以降で最悪、S&Pは過去最悪となったことなどを受けて売りが先行している,00100000000
176,7,ダウの下落率は5.09％で、1978年以来の不調な出だしとなった,00100000000
177,1,株式市場の下落を受け、代替投資としての商品市場が再び注目された,00100000000
183,2,株式市場に関する識者のコメントは以下の通り,00100000000
183,7,金融機関の決算については株価が先行して織り込んでいるため、悪材料出尽くしになるだろう,00100000000
183,12,カントリーワイドフィナンシャルCFC.Nの株価が急落したが、米大手銀行の資金繰りが悪化しているわけではない,00100000000
183,15,11─12月の外国人投資家のポジションの手仕舞いが終了してからのこの売りは、さすがに株価に響いた,00100000000
185,8,前日の米国株式市場が大幅に下落し、ダウの年明け5営業日の下落率は1978年以降で最悪、S&Pは過去最悪となったことなどが嫌気された,00100000000
187,4,米市場の不透明感は株式市場全体に反映されている」と述べた,00100000000
191,0,9日の東京市場は前日の米市場の動きを映し株安／債券高,00100000000
191,2,株式市場は水準感からの打診買いは入っても、投資パフォーマンスの悪さから海外勢が日本株への資金配分をさらに落としているとの観測が出るなど、弱気論が市場を取り巻いている,00100000000
191,3,ただ一部では、現在の株安／債券高はリスクシナリオを意識し過ぎているとの声が出ており、目先の反転を予想する参加者もいる,00100000000
191,4,＜弱いセンチメント続く＞株式市場では日経平均が反落,00100000000
191,10,＜日本株から資金移動＞昨年末からの株価下落については、サブプライムローン（信用度の低い借り手向け住宅ローン）問題などファンダメンタルズ要因だけでなく、需給面の影響も大きいとみられている,00100000010
195,3,TOPIXも前日比で上昇した,00100000000
195,10,「米系証券からの先物売りが一巡したことに加え、為替がやや円安方向に振れていることも好感されたが、テクニカル的なリバウンドの域は出ていない」（外資系証券）、「株価は戻っているが、まだコツンと来た感じはない,00100000000
198,0,米国には年明け5日間の株価推移がその年の相場を決めるというジンクスがあるが「最近は、このジンクスは日本株のほうが当てはまる」（新光証券エクイティストラテジスト、瀬川剛氏）という,00100000000
198,5,この3年間はいずれも、年間でも株価は上昇している,00100000000
198,10,逆にいえば、2000年以降でみる限り、大きなトレンド転換のない年は年明け5日の値動きがその年の1年間の株価を示唆していたことになる,00100000000
198,14,ジンクスがあたり、今年1年で株価が下落する確率は約6割ということになる,00100000000
198,17,リセッションを回避して年後半以降に米国株が戻るようなら、日本株も追随して上昇する」（別の準大手証券）、「サブプライム問題が収束すれば株価は昨年来の下落トレンドを脱することができる,00100000000
209,3,S&P500とダウの年明け5営業日のパフォーマンスは過去最悪となっていたが、この日はアップル(AAPL.O)やマイクロソフト(MSFT.O)といった主力ハイテク株などに安値拾いの買いが入った,00100000000
221,0,米国には年明け5日間の株価推移がその年の相場を決めるというジンクスがあるが「最近は、このジンクスは日本株のほうが当てはまる」（新光証券エクイティストラテジスト、瀬川剛氏）という,00100000000
221,5,この3年間はいずれも、年間でも株価は上昇している,00100000000
221,10,逆にいえば、2000年以降でみる限り、大きなトレンド転換のない年は年明け5日の値動きがその年の1年間の株価を示唆していたことになる,00100000000
221,14,ジンクスがあたり、今年1年で株価が下落する確率は約6割ということになる,00100000000
221,17,リセッションを回避して年後半以降に米国株が戻るようなら、日本株も追随して上昇する」（別の準大手証券）、「サブプライム問題が収束すれば株価は昨年来の下落トレンドを脱することができる,00100000000
231,0,10日の東京市場は、株安／債券高の展開で推移している,00100000000
231,1,欧米系投資家の日本株売りが継続しているほか、国内勢が様子見となって売り優勢になっている,00100000000
231,2,他方、中東勢を中心にしたいわゆるオイルマネーが今週に入って日本株を物色しており、海外勢の日本株に対するスタンスは米系売り／オイルマネー買いの色彩を濃くしている,00100000000
231,4,＜国内勢は日本株様子見、SQも控えて＞株式市場では日経平均が反落している,00100000000
231,5,米国株市場は堅調だったものの「日本株は前日の段階で米株高を織り込んでいたため反応せず、逆に戻り売りに押された,00100000000
231,10,  しかし、先物に外資系証券からの売りが継続的に出て株価の上値を抑えるなど、全体としてみれば例年の年明けとは異なる展開になっている,00100000000
231,12,日本株についても、まず先物売りでヘッジをかけ、その後に現物の売りと置き換えるような手法を取っているのだろう,00100000000
231,14,＜日本株は売られすぎの声も＞日本株のさえない動きは、日本独自の要因との指摘もある,00100000000
231,16,世界中で日本株が一番下落しているのはこのためだ,00100000000
232,0,失業率の急上昇、株式市場の軟調、製造業の不振など、米国では暗い内容の経済ニュースが相次いでおり、リセッション入りを回避するには米連邦準備理事会（FRB）は大幅な利下げに踏み切らざるを得ない、との見方が広がっている,01100000000
233,3,株式市場では社名変更に関する報道が材料となり、同社の株価を下支えしている,00100000000
240,1,先物に外資系証券からの売りが継続的に出て株価の上値を抑える一方で、国内投資家が明日のSQ（特別清算指数）と今晩のバーナンキ米連邦準備理事会（FRB）議長の講演を前に様子見姿勢を強め、終日、売り先行の展開だった,00100000000
240,9,きょうの日経平均は、米国株市場は堅調だったものの「日本株は前日の段階で米株高を織り込んでいたため反応せず、逆に戻り売りに押された」（準大手証券トレーダー）という,00100000000
240,14,日本株のさえない動きは日本独自の要因との指摘もある,00100000000
240,16,世界中で日本株が一番下落しているのはこのためだ,00100000000
