parentid,childid,body,category
529,6,総裁は、住宅差し押さえの動きに歯止めがかからなければ、住宅価格に一段の押し下げ圧力がかかり、米経済成長の足を引っ張ることになるとともに、政府が市場介入を強化する可能性もでてくる、としている,00010000000
1253,6,民主党は、貿易パートナーに注文をつける傾向があり、おそらく中国により大幅な人民元切り上げを要求するだろう,00010000000
1328,9,2005年7月の人民元切り上げがあって以後、6回のG7のうち4回は、G7後の1カ月間に円相場が上昇している,00010000000
2105,1,＜減債システムの導入＞日本の外貨準備はドル買い介入と、外貨建て証券や預金の運用益により増加する,00010000000
2105,3,ドル買い介入の場合、政府は民間金融機関からドルを買い、その対価として民間金融機関に円を支払うが、その円資金は政府が外国為替資金証券（通称為券）を発行して調達する,00010000000
2105,8,日本が最後にドル買い介入を実施した2004年3月末の同残高は85兆0397億円だったので、残高は介入停止期間に約15兆7300億円も増加した,00010000000
2285,8,7日の海外市場でドル／円は、弱い米雇用統計を受け、一時8年ぶりの安値101.40円まで下落したが、その後は日本のドル買い介入のうわさなどから103.25円までドルが値を戻した,00010000000
2286,11,さらに、2003年から2004年にかけて大規模なドル買い介入を行っていた当時は、政府短期証券（FB）の調達コストが現在に比べかなり低かった,00010001000
2297,1,2003年から2004年にかけて政府日銀が大規模なドル買い介入に踏み切った水準となっていることで、前週末の海外市場では一部で介入のうわさを手掛かりにドルが買い戻された,00010000000
2297,6,ショートカバーなどの動きが大きな要因だが、日本のドル買い介入のうわさも出たようだ,00010000000
2790,16,4月9日投開票の総選挙を前に、韓国当局がウォン押し下げを目的とするドル買い介入を実施したもよう,00010000000
3320,7,共同声明の発表を受けた外為市場を見ても反応は冷静で、市場もドル買い介入のニュアンスを汲み取ったということではないようだ,00010000000
4592,0,アジアの中央銀行は27日、原油高がインフレ上昇につながるのを防ぐため、自国通貨を押し上げるための市場介入を行った,00010000000
5006,4,思惑通りに原油が下落基調に転じなければ利上げとドル買い介入のセットが選択肢になる、との声も一部で出ている,00010000001
5859,14,円売り／ドル買い介入する際、政府短期証券（FB）を発行して民間金融機関から円を借り入れてドルを買っているので、借金をして外貨準備を持つという構図だ,00010001000
7327,1,日米欧によるドル買い介入を含めたドル防衛の秘密合意が一部で報じられたが、ドル不安は消えておらず、経済指標や当局者の発言に神経質な局面は続いている,00010000000
7338,1,日米欧によるドル買い介入を含めたドル防衛の秘密合意が一部で報じられたが、ドル不安は消えておらず、経済指標や当局者の発言に神経質な局面は続いている,00010000000
8174,15,ドル相場が不安定な状況にある中で、ドル安が進行した場合の市場介入の可能性については「為替介入という言葉は慎重に使わなければいけない」と述べるにとどめ、「先週、主要国がドルの短期資金を供給したが、広い意味で、各国がよく相談し、迅速に対応し合うことは今後も必要と思う」と各国が協力して対応することの必要性を訴えた,00010000000
8578,3,ただ、さらに円高が進行した場合、日銀が利下げに踏み切る可能性を指摘する声が聞かれたほか、「バンキング対策としての準備預金への金利付与」（BNPパリバ証券チーフエコノミストの河野龍太郎氏）や「米国のファイナンスに貢献するための円売りドル買い介入」（ドイツ証券シニアエコノミストの安達誠司氏）を指摘する声があった,00010000000
9247,0,為替市場関係者は、円相場の急速な上昇を食い止めるため日銀が市場介入に乗り出すのではないかと警戒しているが、それはほとんど効果が期待できないとの見方が支配的だ,00010000000
9247,8,CMCマーケッツ（米ニューヨーク）の市場アナリスト、アシュラフライディ氏は、日銀が利下げを実施すれば、市場介入より効果的だとしながらも、それで円高が一服しても一時的な現象にとどまり、世界的な資産処分の動きが加速すれば円は再び上昇に向かう、との見方を示した,00010000000
10311,8,トレーダーによると、人民銀行が元を支えるために市場介入を行った形跡はない,00010000000
10788,5,その上で、市場介入の可能性について問われ、「市場介入するかどうかは全く、今は頭の中にない」と述べた,00010000000
10792,6,その上で、市場介入の可能性について問われ、「市場介入するかどうかは全く、今は頭の中にない」と述べた,00010000000
11058,9,注目されるのは、85円を割り込む急激な円高が進んだ場合、政府日銀がドル買い介入に踏み切るかだが、単独介入では持続的効果が疑問視されるうえ、ドル防衛で米国から積極的な協力が得られないリスクも高いという,00010000000
11080,1,注目されるのは、85円を割り込む急激な円高が進んだ場合、政府日銀がドル買い介入に踏み切るかだが、単独介入では持続的効果が疑問視されるうえ、ドル防衛で米国から積極的な協力が得られないリスクも高いという,00010000000
13330,3,ただ、PKOに対しては、政府による市場介入の是非や買い支えの実効性、法改正のための国会審議などクリアすべき課題も多く、政府与党の一部では、今回の対策が3月期末には間に合わないとの観測も出ている,00010000000
13389,8,一方で「株は経済を写す鏡」（別の与党幹部）と政府の市場介入に慎重な意見もあり、足並みがそろっているとはいい難い状況だ,00010000000
15485,15,ただ、フィリピン中銀が再び市場介入する可能性が懸念されるなか、先週につけた7週間ぶり安値は上回って推移している,00010000000
17144,6,ただ、市場介入の手法について「戦略的な枠組みの作り方はある」とも述べ、他国に円建て債を発行してもらうことやODAを円建てで供給することで将来的な円売りにつながり、円高緩和の効果が見込まれると語った,00010000000
17609,10,市場筋によると、スイス中銀か国際決済銀行（BIS）、あるいは両方が24日、2回にわたり市場介入した,00010000000
19114,5,――自民党政権は過度な円高進行に対しては市場介入によって為替市場の安定を促してきた,00010000000
20648,3,榊原氏はドルが85円を割り込むまで日本の通貨当局が為替市場でドル買い介入を実施する可能性は低いとの見方を示した,00010000000
20655,3,共同通信が報じたところによると、訪米中の藤井財務相は、24日午後（日本時間25日未明）にガイトナー米財務長官と会談し、円安誘導のための市場介入に否定的な見解を示した,00010000000
20685,6,ただ、今年の最安値となる87.10円に近づき、ドル／円の下落スピードが速ければ、米国の協調を前提に、ドル買い介入の可能性があるとみている,00010000000
21053,8,シアーズ氏は、当局が行動するとすれば、単にドル買い介入を実施するのではなく、日銀が財務省から政府債を買い取ることにより量的緩和プログラムを強化する可能性があると指摘,00010000000
21093,13,トレーダーによると、複数のアジアの中央銀行がドル買い介入を行った,00010000000
21098,0,市場筋によると、ドルの下落が輸出に依存する国の経済を脅かすなか、アジアの中央銀行は8日の外国為替市場で、自国通貨の上昇を抑制するためドル買い介入を実施したもよう,00010000000
21098,1,アナリストによると、ドル買い介入を行ったとされるのは韓国、香港、台湾、タイ、フィリピンの中央銀行,00010000000
21098,6,複数の市場参加者によると、ロシア中央銀行も今週、8日の14億ドルを含め、最大40億ドル規模のドル買い介入を実施したとみられている,00010000000
