parentid,childid,body,category
3,6,ブレア前政権で10年間財務相を務めたブラウン首相は「安定に対してリスクをとらないことを約束する」と述べ、インフレを抑制し、金利を低水準に維持すると約束した,10000000000
22,1,第3四半期の実質国内総生産（GDP）は大幅に上方改定されたが、第4四半期の活動に関する入手可能な指標の大半はこれまでの予想を下回った,10000000000
22,10,ただ、09年までにはこうした要因の足かせは軽減し、住宅ローンの利用可能性の改善が住宅市場の漸次的回復につながると予想した,10000000000
26,15,この日は米原油先物が初の100ドル乗せとなり、経済やインフレに対する懸念もあらためて意識された,10000000000
38,1,4日発表の米雇用統計で、米経済がリセッション（景気後退）に向かっていることが示される可能性があるとの懸念が重しとなり、好調な内容となった11月の製造業新規受注を受けた楽観的な見方が後退した,10000000000
38,8,また、2日に米供給管理協会（ISM）が発表した12月の製造業部門景気指数は低下したが、米商務省が3日発表した11月の製造業新規受注は予想を上回る伸びを示し、対照的な内容となった,10000000000
66,2,また、増税は米経済にとって「最悪だ」として議会に回避するよう求める一方、住宅ローンの借り換えを容易にする法案の成立を促した,10000000000
69,8,景気認識については、インフレがやや上昇しているものの高水準ではなく、雇用個人消費設備投資はこれまでほど高くはないが低いともいえないとし「こうした状況を、米連邦準備理事会（FRB）は多少均衡した状態と考えていると思う」と述べた,10000000000
74,2,トリシェ総裁は、ユーロ圏の成長のファンダメンタルズは健全とする一方で、インフレは今後数カ月間、2％を大幅に上回って推移する公算を示した,10000000000
74,5,メルケル首相は、トリシェ総裁の発言について、ドイツの賃金交渉がインフレでなく生産性を反映すべきという点や欧州連合（EU）の財政赤字に関する協定を尊重する重要性という自身の見解を強めたと述べた,10000000000
77,0,欧州中央銀行（ECB）のパパデモス副総裁は5日、米国経済学会の年次総会で、中央銀行は、インフレを引き起こさないよう配慮しつつ、行動する意志があることを示すことで金融市場の緊張に対応しなければならないと指摘した,10000000000
89,4,米国株式市場がぐらつき、市場金利が急低下するなか、FRBによる問題への対応は十分に積極的なものではなく、インフレを懸念し過ぎて経済成長支援を犠牲にしている、と指摘するアナリストもいる,10000000000
109,9,そのうえで、明らかに下向きリスクが存在し、インフレ、特に高水準の商品相場が一段の賃金や物価上昇につながれば二次的影響が懸念されると認識を示し、インフレや、市場の大幅調整といった問題に気を緩めないことだと述べた,10000000000
119,5,総裁は高水準のインフレを懸念していると指摘,10000000000
124,3,第4四半期（1─3月）は雇用や国内総生産（GDP）、その他あらゆることに関連して予測不可能な状況が多い,10000000000
130,6,総裁は、成長が減速する一方でインフレが加速する状況におけるリスクについて聞かれ、「インフレを懸念しているが、同程度かそれ以上に、強まる（経済成長）減速を懸念している」と述べた,10000000000
130,10,総裁は高水準のインフレを懸念していると指摘,10000000000
133,3,額賀財務相はこうした状況に対し「国内景気は住宅着工件数の減少などで若干下方修正することになったが、基本的には景気回復基調が続いている」と述べた,10000000000
165,4,インフレは完全に抑制されていない,10000000000
180,5,全米リアルター協会（NAR）が発表した11月の住宅販売保留指数は、前月比で低下した,10001000000
200,3,中国は現在、主に食品価格の高騰が原因で過去11年間で最悪のインフレに直面している,10000000000
206,0,第3四半期のユーロ圏域内総生産（GDP）伸び率改定値は前期比0.8％となり、前回発表から上方修正された,10000000000
207,5,一方、同社が管理する住宅ローンの差し押さえや延滞件数は、データの入手が可能な2002年以来最高となった,10000000000
209,5,ゴールドマンサックスが、米国内総生産（GDP）が第2四半期と第3四半期にそれぞれ年率1％縮小するとの見方を示したことから、これらのディフェンシブ銘柄が買われた,10000000000
214,8,これに先立つ別の講演では、FRBは引き続き景気減速とインフレの両リスクを注視していく方針と指摘,10000000000
215,1,ゴールドマンは顧客向けリポートで、米国内総生産（GDP）が第2四半期と第3四半期にそれぞれ年率1％縮小し、GDPの伸びは08年全体で年率0.8％にとどまると予想,10000000000
219,3,その他の企業の小売売上高もさえない内容となっており、長期にわたり英経済をけん引してきた消費が、金利や生活費の上昇などの圧力に屈したとの見方が強まった,10000000000
235,5,一致指数が50％を下回ったものの、指数を構成する鉱工業生産の12月予測指数が前月比4.0％上昇する見通しであることなどを踏まえ、基調判断を据え置いた,10000000000
250,1,一方、トリシェ総裁は、金融政策は明らかに中立ではないとし、ECBとして必要ならインフレに対する予防的措置をとる構えを示した,10000000000
250,2,トリシェ総裁は理事会後の記者会見で、インフレについては全面的に用心しているとし、理事会で利上げは討議したが、利下げは話し合われなかったと語った,10000000000
250,4,食品エネルギー高が賃金上昇を引き起こすインフレの二次的影響について、ECBとして放置するつもりはないと指摘,10000000000
250,11,トリシェ総裁は、賃金の伸び抑制と商品市況下落が実現しないかぎり、足元のインフレが12月のECBスタッフ見通しのように低下することはあり得ないとした,10000000000
261,3,スタイフェルニコラウスキャピタルマーケッツの上場株式トレーディング部門マネジングディレクター、アンジェルマータ氏は「インフレが先行きの懸念要因になり得る一方で、議長は、リセッション（景気後退）が迫っているとの懸念にも気を配る必要があることを認めたと思われる」と話した,10000000000
269,3,スタイフェルニコラウスキャピタルマーケッツの上場株式トレーディング部門マネジングディレクター、アンジェルマータ氏は「インフレが先行きの懸念要因になり得る一方で、議長は、リセッション（景気後退）が迫っているとの懸念にも気を配る必要があることを認めたと思われる」と話した,10000000000
269,5,＜経済成長に焦点＞バーナンキ議長は、政策担当者はインフレよりも経済成長の持続について懸念していると指摘,10000000000
271,14,また、これまで景気動向にあまり左右されないとみられてきた高級品や10代の若者向け衣料の売り上げには鈍化傾向がみられた,10000000000
273,1,住宅市場の低迷、クレジット市場のタイト化、原油高、失業率の上昇などを背景に消費者が一段と支払いに窮し、信用危機問題は単に住宅ローンばかりではなく、クレジットカードやオートローンなどにも波及していることが浮き彫りになった,11000000000
288,1,一方、トリシェ総裁は、金融政策は明らかに中立ではないとし、ECBとして必要ならインフレに対する予防的措置をとる構えを示した,10000000000
288,2,トリシェ総裁は理事会後の記者会見で、インフレについては全面的に用心しているとし、理事会で利上げは討議したが、利下げは話し合われなかったと語った,10000000000
288,4,食品エネルギー高が賃金上昇を引き起こすインフレの二次的影響について、ECBとして放置するつもりはないと指摘,10000000000
288,11,トリシェ総裁は、賃金の伸び抑制と商品市況下落が実現しないかぎり、足元のインフレが12月のECBスタッフ見通しのように低下することはあり得ないとした,10000000000
299,3,スタイフェルニコラウスキャピタルマーケッツの上場株式トレーディング部門マネジングディレクター、アンジェルマータ氏は「インフレが先行きの懸念要因になり得る一方で、議長は、リセッション（景気後退）が迫っているとの懸念にも気を配る必要があることを認めたと思われる」と話した,10000000000
307,3,スタイフェルニコラウスキャピタルマーケッツの上場株式トレーディング部門マネジングディレクター、アンジェルマータ氏は「インフレが先行きの懸念要因になり得る一方で、議長は、リセッション（景気後退）が迫っているとの懸念にも気を配る必要があることを認めたと思われる」と話した,10000000000
307,5,＜経済成長に焦点＞バーナンキ議長は、政策担当者はインフレよりも経済成長の持続について懸念していると指摘,10000000000
309,14,また、これまで景気動向にあまり左右されないとみられてきた高級品や10代の若者向け衣料の売り上げには鈍化傾向がみられた,10000000000
311,1,住宅市場の低迷、クレジット市場のタイト化、原油高、失業率の上昇などを背景に消費者が一段と支払いに窮し、信用危機問題は単に住宅ローンばかりではなく、クレジットカードやオートローンなどにも波及していることが浮き彫りになった,11000000000
332,5,景気ウォッチャー調査の判断は「景気回復の実感は極めて弱くなっている」で据え置かれた,10000000000
345,4,スタンダードアンドプアーズ（S&P）の首席エコノミスト、ディビッドウィス氏は「第4四半期の国内総生産（GDP）にとって悪材料で、（成長率は）1％以下の水準に押し下げられる」と指摘,10000000000
363,8,14日の週は、卸売物価指数（PPI）や消費者物価指数（CPI）、小売売上高、住宅着工件数、企業在庫など主要指標の発表もあり、注目材料となる見通し,10001000000
375,0,米金融大手シティグループ(C.N)は、コスト削減と資本増強計画の一環として、1万7000─2万4000人を削減し、サブプライムローン（信用度の低い借り手への住宅ローン）や他のクレジット関連で最大240億ドルの評価損を計上する可能性がある,10000000000
393,1,名目成長率の見通しが従来より下方修正された結果、14.3兆円の最大の歳出削減を行いかつ高い成長を実現するケースでも、2011年度の国地方を合わせた基礎的財政収支（プライマリーバランス）は国内総生産（GDP）比マイナス0.1％程度となった,10000000000
399,5,具体的な兆候としては、供給管理協会（ISM）の景気指数が12月に47.7と景気判断の分岐点となる50を割り込んだことや、12月の失業率が5.0％に上昇したことを挙げた,11000000000
412,0,米商務省が発表した12月の小売売上高は前月比0.4％減となった,10000000000
412,4,2007年全体の小売売上高の伸びは4.2％,10000000000
412,7,自動車を除く小売売上高も前月比0.4％減,10000000000
