parentid,childid,body,category
14,4,そうなれば、米政策金利はユーロ圏の政策金利と同水準になり、ドルのユーロに対する金利面での優位性はなくなる,00000000100
15,0,欧州中央銀行（ECB）は2日、期間1日の資金吸収オペを4％の固定金利で実施し、市場から1686億4000万ユーロを吸収した,00000000100
53,0,ロイター調査によると、欧州中央銀行（ECB）は2008年を通じて政策金利を据え置く見通し,00000000100
53,2,12月31日─1月3日に実施した調査では、アナリスト71人全員が、ECBは1月10日の理事会で政策金利を4.0％に据え置くと予想,00000000100
53,6,ECBの政策金利がピークに達した確率は予想中央値で70％と、07年12月の調査と変わらずだった,00000000100
73,6,＜ECB理事会は金利据え置き＞ユーロ圏では10日に欧州中央銀行（ECB）理事会が開催される,00000000100
140,4,短期金融市場のスワップ金利が日銀の利下げを意識したような動きを示していることも債券買いに安心感を与えている,00000000100
143,11,たとえば日本のREIT（不動産投資信託）利回りが10年債利回りを上回っていることからも売られすぎなのがわかる」と述べた,00000000100
163,0,世界最大の債券ファンド投資会社、パシフィックインベストメントマネジメント（PIMCO）の最高投資責任者（CIO）であるビルグロース氏は、米連邦準備理事会（FRB）が2008年半ばまでに政策金利を現行の4.25％から3％に引き下げる可能性が高いとの見方を示した,00000000100
179,1,フィラデルフィア地区連銀のプロッサー、ボストン地区連銀のローゼングレン両総裁はこの日の講演で、FRBが今後必要に応じ政策金利を引き下げる意向を示した,00000000100
179,3,FRBが8日公表した同FOMC議事録によると、12地区連銀の間で政策金利に関して3通りの案が出された,00000000100
179,5,ボストン、ミネアポリス、サンフランシスコの3地区連銀は、深刻な景気後退を回避するため、公定歩合を0.5％ポイント引き下げ4.5％とすることを発議した,00000000100
193,2,政策金利の発表は1245GMT（日本時間午後9時45分）、総裁会見は1330GMT（同午後10時30分）に予定されている,00000000100
193,6,ただ、先週のロイター調査では、調査対象のアナリスト71人全員が1月の金利据え置きを予想,00000000100
215,0,米ゴールドマンサックスは9日、米経済が2008年に景気後退入りし、連邦準備理事会（FRB）は政策金利を第3四半期までに2.5％まで引き下げるとの見通しを示した,00000000100
253,0,英イングランド銀行（中央銀行）は10日、政策金利を5.50％に据え置くと発表した,00000000100
253,2,大方のエコノミストは金利据え置きを予想していたが、金融市場は60％の確率で利下げされることを織り込んでいた,00000000100
253,3,今回の金利据え置きにもかかわらず、市場では2月に追加利下げが実施されると予想する声が多い,00000000100
277,4,短期金利先物市場では、議長の発言を受けて、1月29―30日のFOMCで、政策金利が0.50％ポイント引き下げられ、3.75％になる確率を94％織り込んだ,00000000100
291,0,英イングランド銀行（中央銀行）は10日、政策金利を5.50％に据え置くと発表した,00000000100
291,2,大方のエコノミストは金利据え置きを予想していたが、金融市場は60％の確率で利下げされることを織り込んでいた,00000000100
291,3,今回の金利据え置きにもかかわらず、市場では2月に追加利下げが実施されると予想する声が多い,00000000100
315,4,短期金利先物市場では、議長の発言を受けて、1月29―30日のFOMCで、政策金利が0.50％ポイント引き下げられ、3.75％になる確率を94％織り込んだ,00000000100
