parentid,childid,body,category
108,5,御手洗会長は、08年の経済情勢について、1）国内雇用は堅調で個人消費が緩やかに回復する、2）多くの企業で設備の不足感があり設備投資が拡大する、3）米国景気の下降はあるが、中国や資源国、発展途上国の成長力は強い──などと楽観的な見方を示した,00000010000
108,8,同会長は、こうしたシナリオの実現には、中小企業の業績回復に伴う家計改善とそれによる個人消費の拡大が「キーポイントになる」と指摘した,00000010000
142,0,8日ロイター］消費動向を占うイベントとして注目される百貨店業界の初売りが好調だった,00000010000
226,2,サブプライムローン（信用度の低い借り手向け住宅ローン）に端を発した米国景気と国際金融市場の動揺に関し、米国経済は減速傾向が強まっているとし、この先の個人消費と設備投資が下振れすれば、米景気が一段と減速する可能性にも言及した,00000010000
228,1,サブプライムローン（信用度の低い借り手向け住宅ローン）問題に端を発した米国景気と国際金融市場の動揺に関して「米国経済は減速傾向が強まっている」とし、「この先の個人消費と設備投資が下振れすれば、米景気が一段と減速する可能性」にも言及,00000010000
228,5,「こうしたマインドの悪化の影響を含めて、個人消費の動向については、引き続きよくみていく必要があると考えている」と慎重な見方を示した,00000010000
261,4,バーナンキ議長は、原油高や株安、住宅価格の下落などの諸要因が今年の個人消費に悪影響を及ぼすだろうとし「2008年の実体経済活動の基調見通しは悪化し、成長に対する下振れリスクが一段と明確になったことが最新の情報からうかがえる」と述べた,00100010000
269,7,議長は、原油高や株安、住宅価格の下落などの諸要因が今年の個人消費に悪影響を及ぼすだろうとし「2008年の実体経済活動の基調見通しは悪化し、成長に対する下振れリスクが一段と明確になったことが最新の情報からうかがえる」と述べた,00100010000
282,9,ある大手証券関係者は、値動きが重いのは小売りセクターに相次いだ業績予想の下方修正を受けて個人消費の先行き懸念が出て、国内景気への不安感が強まってきたためと分析,00000010000
299,4,バーナンキ議長は、原油高や株安、住宅価格の下落などの諸要因が今年の個人消費に悪影響を及ぼすだろうとし「2008年の実体経済活動の基調見通しは悪化し、成長に対する下振れリスクが一段と明確になったことが最新の情報からうかがえる」と述べた,00100010000
307,7,議長は、原油高や株安、住宅価格の下落などの諸要因が今年の個人消費に悪影響を及ぼすだろうとし「2008年の実体経済活動の基調見通しは悪化し、成長に対する下振れリスクが一段と明確になったことが最新の情報からうかがえる」と述べた,00100010000
320,9,ある大手証券関係者は、値動きが重いのは小売りセクターに相次いだ業績予想の下方修正を受けて個人消費の先行き懸念が出て、国内景気への不安感が強まってきたためと分析,00000010000
347,2,個人消費に対する不安も圧迫材料となった,00000010000
347,10,個人消費に関する懸念から、マクドナルド(MCD.N)やティファニー(TIF.N)などが軒並み下落,00000010000
400,4,個人消費についても「雇用所得環境の緩やかな改善傾向を背景に、全体として底堅く推移している」との見方を示した,00000010000
400,8,東北は個人消費の一部に、北海道は雇用者所得にそれぞれ弱めの動きがみられるほか、北陸は原材料高等の影響による企業集収益の下振れ、関東甲信越は設備投資の増勢がやや鈍化していることが背景にある,00000010000
408,4,個人消費についても「雇用所得環境の緩やかな改善傾向を背景に、全体として底堅く推移している」との見方を示した,00000010000
408,10,東北は個人消費の一部に、北海道は雇用者所得にそれぞれ弱めの動きがみられるほか、北陸は原材料高などの影響による企業収益の下振れ、関東甲信越は設備投資の増勢がやや鈍化していることが背景にある,00000010000
412,2,エネルギー高や住宅市場の低迷が個人消費を圧迫したとみられている,00000010000
442,3,米経済を下支えていた個人消費にまで減速感が強まっていることから、市場の関心はドル安／株安／債券高がどこまで深くなるかに集まっている,00100010000
447,2,NRFのプレジデント兼最高経営責任者（CEO）であるトレーシーマリン氏はこれについて「主要小売業のCEOが現在の景況をどれだけ深刻に受け止めているかを表している」と述べ、「個人消費を促す刺激策は民間のあらゆる産業にとって有益となる」との見方を示した,00000010000
534,4,また、11月に好調だった歳暮やおせち受注も12月に入って伸びなかったほか、円高株安原油高といった国内経済、特に個人消費へのマイナス要因が昨年後半から日を追って顕著となり、景気の先行き不安等から、顧客の購買心理に影響し始めたと分析する見方もでてきているという,00000010000
538,0,内閣府が発表した12月の消費者態度指数（一般世帯原数値）は前月比1.8ポイント低下の38.0となり、3カ月連続で低下した,00000010000
538,3,内閣府は、消費者態度指数からみた消費者マインドの基調判断について、表現を前月の「このところ悪化している」から「悪化している」に修正したが、判断は据え置いた,00000010000
538,4,季節調整値の消費者態度指数（一般世帯）も9月比で5.0ポイント悪化の38.9となり、4年6カ月ぶりの低水準だった,00000010000
548,3,個人消費は「おおむね横ばい」で判断を維持したが、これまで消費を下支えしてきた乗用車販売が12月は落ち込んだことなどもあり、10─12月の個人消費は弱くなりそうだと内閣府ではみている,00000010000
548,10,物価は、「石油製品及びその他特殊要因を除く総合指数」（いわゆるコアコア指数）で基調を判断することとし、引き続きゼロ近傍で推移しているため、物価の基調は「横ばい」で据え置いたが、食料品や石油関連製品などの値上がりは個人消費に直接影響を与えかねないため、生鮮食品を除く総合指数（いわゆるコア指数）で11月に0.4％の上昇となったことも踏まえ、「このところ石油製品を中心に上昇している」と付け加えた,00001010000
558,0,全体的に今回の内容は、個人消費の伸びが2008年の第1四半期に1％程度となり、その後、年内を通して上昇し通年で2％になるとの見通しと一致している,00000010000
558,4,信頼感指数は改善したが、これが個人消費の大きな転換を示しているとはみていない」と述べた,00000010000
587,3,今回の全局総括判断は、「雇用や個人消費の一部に弱い動きが見られる」（幹部）ことから、前回の「緩やかな回復が続いている」に「一部に弱い動きが見られるものの」という一文を加えて表現を変更したものの、現状で判断を変えるほどの影響は見られていないとし、基調判断自体は据え置いた,00000010000
587,10,個人消費は東北が下方修正したが、回復や持ち直しの動きと判断している地域が多い,00000010000
627,5,その上で、足下の日本経済は改正建築基準法の影響による住宅着工減などを主因に減速しているが、08年度は住宅着工の反動増が見込まれるほか、企業の底堅い動き、緩やかな消費動向などから2％程度の経済成長を見込んでいるとし、「景気回復が持続していく」と述べた,10000010000
653,5,先行きの内需については「設備投資や個人消費も、高水準の企業収益や雇用者所得の緩やかな増加を背景に、増加基調をたどる可能性が高い」との見方を維持した,00000010000
673,4,中でも米経済が特に気になるが、個人消費や設備投資は緩やかな増加を維持しているが、住宅市場の調整が長引いており、あるいは失業率が最近になりいく分高まっているなど、米経済は減速感が強まりつつあると思っている,01000010000
673,12,こうした下で個人消費は底堅く推移していると判断される」「以上、内外需要動向について申し上げたが、供給面では生産は増加を続けており、在庫もおおむね出荷とバランスが取れている,00000010000
700,1,12月の「住宅市場の調整が深まり、先行きの不確実性が強まっている下で、エネルギー価格高の影響もあって個人消費の減速感が出ているが、今のところ雇用所得面の底堅さや利下げ効果に支えられて、景気減速が長引きつつも、後退には至らず、安定成長へと次第に戻っていく可能性が高い」との見方から、警戒感を強めた,00000010000
702,12,サブプライムローンの延滞率は依然として上昇、住宅価格の下落でデフォルト率は記録的な高水準に達しており、消費者心理の冷え込みにつながっている,00000010000
733,11,個人消費は縮小する可能性が高いとし、住宅資産価値の低下、借入コストの上昇、原油高、実質所得の伸びの減速を要因に挙げた,00000010000
792,10,一方、足もとの個人消費や設備投資は、減速しつつも緩やかに拡大しているとの認識を共有した,00000010000
792,11,ただ、多くの委員が、銀行の与信姿勢が、サブプライム住宅ローン以外も含めて全般にタイト化していることを指摘し、これが先行きの個人消費や設備投資に与える影響に注意する必要があると付け加えた,00000010000
823,2,＜世界経済は急減速の証拠なし＞門間局長は、米国経済について「雇用や個人消費、製造業の指標が弱いというデータが出てきているが、まだ1カ月だし、もう少し様子をみないとどの程度本当に弱まっているのか見極めきれない」と指摘,00000010000
974,12,ただ、個人消費は12月は低調だったとはいえ、引き続きGDPの主要な押し上げ要因になるだろう,10000010000
1002,12,住宅市場が低迷し価格が下落するなか、家計および消費者心理が圧迫されていることを改めて示唆した,00000010000
1026,10,＜米経済の不確実性は下方に大きく高まっている＞米国経済について西村委員は、個人消費や設備投資は減速感をやや強めているが、緩やかな増加基調は維持されているように見えるとした,00000010000
1030,1,個人消費がリセッションに入った可能性が高く、過剰出店による悪影響を避けるための措置と説明している,00000010000
1030,3,ハワードシュルツ最高経営責任者（CEO）は電話インタビューで「マクロ経済に逆風が吹いており、国内の個人消費はリセッションの状態にあると強く感じる」と述べた,00000010000
1074,3,その理由として、1）賃金が伸びない中で個人消費が強さを欠いている、2）改正建築基準法の影響で住宅投資が低水準にある──ことを挙げた,00000010000
1125,12,自動車販売は、その月の消費動向を探る最初の指標の1つ,00000010000
1146,1,ゴールドマンは、商業用不動産（CRE）、サブプライム以外の住宅ローン、消費者ローン、企業向けローンから生じるクレジット損失は3300億ドルに達する見込みで、サブプライム関連損失の2210億ドルを上回ると予想,10000010000
1190,0,今後の消費動向を大きく左右する今春闘での大幅な賃上げ達成は、かなり難しい情勢になってきた,00000010000
1281,10,サブプライムローン（信用力の低い借り手向け住宅融資）問題と原油高で個人消費が減退し、販売台数が前年同期比1％減の75万6000台と03年4─6月期以来の減少となった,00000010000
1283,1,英経済は、米経済のような大幅減速には見舞われていないものの、住宅市場の減速や消費者心理の悪化を踏まえると、英中銀が様子見姿勢をとる可能性は低い,00000010000
1316,16,「個人消費は消費者心理の大幅な落ち込みに比べ、底堅い動きになる」（三井住友アセット）、「所得低迷、消費者心理の悪化の中、個人消費は健闘しているという評価が可能」（ニッセイ基礎研）などの指摘が目立った,00000010000
1469,6,さらに1月の米雇用者数は減少に転じ、1月の自動車販売台数は、トヨタをはじめこれまで好調だった日本勢でも軒並み前年割れし、雇用所得面や個人消費に変調がうかがわれる状況に直面している,00000010000
1493,1,最近の指標で、米経済のリセッション（景気後退）入りの可能性が示されるなか、1月の米小売売上高が予想外に増加し、個人消費が持ちこたえていることが示されたのが背景,00000010000
1535,5,経済が直面するリスクについては、住宅建設および関連活動が一段と縮小する可能性が高いとしたほか、雇用市場の軟化、エネルギー価格の上昇と住宅価格の下落が、短期的に個人消費を圧迫するとの見方を示した,00000010000
1568,5,また設備投資や個人消費の先行きについても「総じて高水準の企業収益や雇用者所得の緩やかな増加を背景に、増加基調をたどる可能性が高い」として、1月の「高水準の企業収益や雇用者所得の緩やかな増加を背景に、増加基調をたどる可能性が高い」からやや変化させた,00000010000
1576,15,また、1月の消費者態度指数は03年3月以来の低水準となる一方で、1年後の物価見通しは「上昇する」との予想が4カ月連続で過去最高を記録,00000010000
1582,1,2月の米ミシガン大消費者信頼感指数（速報値）が16年ぶりの低水準となったことや、家電小売大手ベストバイ(BBY.N)の利益見通し引き下げたことで、個人消費に対する懸念が広がった,00001010000
1617,1,15日の米国株式市場は、2月の米ミシガン大消費者信頼感指数（速報値）が16年ぶりの低水準となったことなどで個人消費をめぐる懸念が広がり、ダウ工業株30種が0.2％下落したが、18日のアジア市場では、景気減速を切り抜けると予想される銘柄に買いが入っている,00001010000
1678,1,一時は上昇していたものの、原油価格が再び100ドル台に上昇したことを受けて、インフレが高まり、個人消費や企業利益が圧迫される可能性があるとの懸念が高まった,10000010001
1689,6,個人消費や設備投資に関しては、全委員が、減速感を幾分強めつつも、緩やかに拡大しているとの認識を共有,00000010000
1746,3,外需が業績を下支えする1部市場の主力株とは異なり、新興市場の中小型株は内需関連が中心となっているため、これらが人気化するか否かは消費動向がカギを握るとの見方が出ていた,00000010000
1966,11,住宅価格の下落は個人消費の減退を招く可能性がある一方で、家賃の値上がりを通じてインフレ高進につながる恐れもあるとした,00001010000
2116,5,さらに「最新の指標は、第1四半期の実質的な個人消費がさえないことを示している」とし、設備やソフトウエアへの企業投資は短期的に「鈍化する」可能性が高いとの見方を示した,00000010000
2127,0,米連邦住宅貸付抵当公社（フレディマック）が4日発表した2007年第4四半期の住宅価格指数は前期に続いて低下した,00000010000
2337,19,今回の米景気の調整は個人消費が中心であり、ITバブル後の在庫調整のような急激なリセッションには陥らないとの見方もあるが、「信用市場の問題は利下げだけでは解決できない,00000010000
2370,8,大方の委員は、先行きの個人消費や設備投資に与える影響に注意する必要があるとの認識を示し、さらに、複数の委員は、特に商業用不動産向け与信基準が急激にタイト化しており、これまで好調に推移していた建設投資に悪影響を及ぼす可能性があるとコメントした,00000010000
2381,0,内閣府が発表した2月の消費者態度指数（一般世帯原数値）は前月比1.4ポイント低下の36.1となり、5カ月連続で低下した,00000010000
2381,2,内閣府は、消費者態度指数からみた消費者マインドの基調判断を「悪化している」で据え置いた,00000010000
2388,0,米景気減速の見通しが濃厚になる中で、景気をリードする主役として期待される個人消費の力強さに大きな期待はできないとの見方が民間エコノミストの間で台頭している,00000010000
2388,5,ほぼ昨年並みの結果となったことで「個人消費を刺激するほどのインパクトは無い」（住友商事総合研究所シニアエコノミストの奥田壮一氏）、「今年の春闘は昨年度並みにとどまってしまったという事実は、先行きの消費について下振れリスクをもたらす」（ABNアムロ証券エコノミストの西岡純子氏）など慎重な見方が多く出ている,00000010000
2426,10,さらに「急速な円高を嫌気した株安で、個人消費に悪影響が及ぶだろう,00100010000
