parentid,childid,body,category
38,6,米労働省の雇用統計の先行指標として注目される企業向け給与計算サービスのオートマチックデータプロセッシング（ADP）子会社などが集計した12月のADP全米雇用報告によると、民間部門雇用者数は4万人増となり、アナリスト予想の5万人増からそう遠くない数字となった,01000000000
63,0,米労働省が4日発表した12月の雇用統計は、非農業部門雇用者数が1万8000人増と、4万2000人の減少となった2003年8月以来の低水準にとどまった,01000000000
63,1,一方、失業率は4.7％から5％へ上昇し、05年11月に並ぶ高水準となった,01000000000
63,4,アーガスリサーチのチーフエコノミスト、リチャードヤマロネ氏は、雇用統計の悪化について、景気の不透明感に加え厳しい寒気が影響した可能性を指摘した,01000000000
65,1,12月の米雇用統計で失業率が上昇しリセッション（景気後退）観測が強まったことを背景に、ナスダックがほぼ1年ぶりの大幅な下げとなった,01000000000
65,7,この日発表された12月の米雇用統計では、失業率が4.7％から5％へ上昇し、2005年11月に並ぶ高水準となった,01000000000
70,12,この日発表された12月の米雇用統計は、非農業部門雇用者数が1万8000人増と予想を下回ったほか、失業率が4.7％から5％へ上昇し2年ぶり高水準となった,01000000000
76,8,4日に発表された12月の米雇用統計で失業率が5％に上昇したことで、50ベーシスポイント（ｂｐ）の利下げがある、との観測が高まっている,01000000000
81,7,4日に発表された12月の雇用統計では、失業率が4.7％から5％に上昇し、2005年11月に並ぶ高水準となった,01000000000
82,1,12月の雇用統計で失業率が5％に悪化したことなどを受けて4日の米国株式市場が大幅に下落した流れから、国内株式も売り先行で始まるとみられている,01000000000
82,8,12月の米雇用統計で失業率が上昇し、リセッション（景気後退）観測が強まったことを背景にダウが終値で前日比250ドルを超す大幅下落となったほか、ナスダックはほぼ1年ぶりの大幅な下げとなった,01100000000
82,9,この日発表された12月の米雇用統計では、失業率が4.7％から5％に上昇し、2005年11月に並ぶ高水準となった,01000000000
83,2,週末4日の米国株式市場は、12月の米雇用統計が低調な雇用の伸びと失業率の上昇を示したことから、大幅下落した,01000000000
89,1,特に12月の雇用統計と米供給管理協会（ISM）発表の製造業部門景気指数では米経済がリセッション（景気後退）に陥る寸前であり、この状況を救うためにはより大幅な利下げが必要となる可能性が示された,01000000000
96,0,12月の米雇用統計は、非農業部門雇用者数が1万8000人増と2003年8月以来の低水準にとどまる一方、失業率は5％と、05年11月に並ぶ高水準となった,01000000000
99,6,現代証券のアナリストは「雇用統計を受け、サブプライムローン（信用度の低い借り手向けローン）の影響で米経済がリセッションに向かっているとの懸念が強まった,01000000000
127,4,長官は、経済への影響が前週末の弱い雇用統計にすでに現れており「向こう数週間数カ月にかけて景気減速の徴候がさらにみられる可能性が高い」とした,01000000000
176,4,米株市場では年初から製造業景気指数の予想外の低下や弱い内容の雇用統計などでリセッション懸念が強まり、主要指数が軒並み下落している,01000000000
183,3,●米景況感厳しいが、米株は今週中にもボトムか＜大和総研シニアストラテジスト成瀬順也氏＞米経済指標で最も重要なISM製造業景気指数と雇用統計が悪化したことを受けて、当面の米景況感は厳しい,01000000000
214,6,「2001年10―12月の雇用統計とは違う,01000000000
215,2,一方、失業率は09年に、現在の5％から6.5％へ上昇するとしている,01000000000
222,0,米労働省が10日発表する新規失業保険申請件数は、4日発表された12月の雇用統計で失業率が上昇したことを受け、通常よりも注目を集める可能性がある,01000000000
222,2,失業率は、2007年12月の5％から09年には6.5％に上昇する可能性があるという,01000000000
222,3,ドイツ銀行証券のチーフ米国エコノミスト、ジョセフラボーニャ氏は「12月の雇用統計が予想外に弱い内容だったため、今後数週間、新規失業保険申請件数の重要性が増す」と述べた,01000000000
222,6,ただ、1月の雇用統計も弱い内容になれば、深刻な懸念が浮上する見込み,01000000000
232,0,失業率の急上昇、株式市場の軟調、製造業の不振など、米国では暗い内容の経済ニュースが相次いでおり、リセッション入りを回避するには米連邦準備理事会（FRB）は大幅な利下げに踏み切らざるを得ない、との見方が広がっている,01100000000
232,4,UBS証券（米コネチカット州グリニッチ）のエコノミスト、ジェームズオサリバン氏は「重大な意味を持つのは雇用統計、失業率だ,01000000000
232,6,米労働省が4日発表した12月の雇用統計は、失業率は4.7％から5％へ上昇し、上昇の幅は米同時多発テロ事件直後の2001年10月以来の大きさとなった,01000000000
241,4,ブルーチップは「12月の米雇用統計では非農業部門雇用者数の増加幅が低水準にとどまり、失業率も0.3％ポイント上昇した,01000000000
273,1,住宅市場の低迷、クレジット市場のタイト化、原油高、失業率の上昇などを背景に消費者が一段と支払いに窮し、信用危機問題は単に住宅ローンばかりではなく、クレジットカードやオートローンなどにも波及していることが浮き彫りになった,11000000000
287,0,フィッチは10日、住宅ローン関連の問題や景気低迷基調のほか失業率の上昇などで、米国のクレジットローンの資産価値が今年大幅に低下するとの見通しを示した,01000000000
311,1,住宅市場の低迷、クレジット市場のタイト化、原油高、失業率の上昇などを背景に消費者が一段と支払いに窮し、信用危機問題は単に住宅ローンばかりではなく、クレジットカードやオートローンなどにも波及していることが浮き彫りになった,11000000000
325,0,フィッチは10日、住宅ローン関連の問題や景気低迷基調のほか失業率の上昇などで、米国のクレジットローンの資産価値が今年大幅に低下するとの見通しを示した,01000000000
399,5,具体的な兆候としては、供給管理協会（ISM）の景気指数が12月に47.7と景気判断の分岐点となる50を割り込んだことや、12月の失業率が5.0％に上昇したことを挙げた,11000000000
436,3,評価損の算定には、ポートフォリオに含まれる証券や担保ローンに関する情報のほか、住宅価格や失業率などの経済ファクターも考慮した、という,01000000000
548,8,雇用面では、11月の統計で雇用者も増加し、失業率も低下、秋ごろの雇用の弱さが一時的だった可能性もうかがえる,01000000000
660,9,福井総裁は記者会見で、日本経済の成長シナリオが維持されていることを説明した上で、先行き不透明感が強まっている米国経済について「住宅市場の調整が長引いており、あるいは失業率が幾分最近になって高まっている等々、減速感が強まりつつある」と指摘,01000000000
670,4,失業率は低くとどまっており、控え目なペースではあるが雇用創出が続いている,01000000000
673,4,中でも米経済が特に気になるが、個人消費や設備投資は緩やかな増加を維持しているが、住宅市場の調整が長引いており、あるいは失業率が最近になりいく分高まっているなど、米経済は減速感が強まりつつあると思っている,01000010000
680,3,また、08年12月の失業率については6％と、07年12月の5％から上昇するとの見通しを示した,01000000000
700,0,日銀は23日公表の1月金融経済月報（全文）で、米国経済について「住宅投資の調整が長引き、失業率がいく分高まるなど、景気の減速感が強まりつつある」との見解を示した,01000000000
731,0,国際労働機関（ILO）は24日、世界的な景気の冷え込みによる影響などで2008年の失業率が07年の6.0％から6.1％に小幅上昇するとの見通しを示した,01000000000
731,1,ILOの雇用部門担当者は記者会見で、雇用統計は遅行指標であることから、現在の金融市場での混乱はまだこうした指標に表れていないが、08年の世界経済成長率が国際通貨基金（IMF）予想の4.8％を下回る事態になれば、この失業率見通しも明るすぎる可能性があると述べた,01000000000
733,6,景気減速を受け、失業率は現行の5％から08年平均で5.1％、同年末には約5.3％に上昇すると予想,01000000000
772,9,ある議会関係者によると、低所得層向けの食料配給券（フードスタンプ）発行拡大や、失業保険の延長は含まない,01000000000
847,10,「雇用統計は前回低い伸びとなった反動が予想されているが、すう勢的に雇用の伸びが低下しているなかで、マイナスに転じる場合にはドル高／円安の圧力が高まろう」とロイヤルバンクオブスコットランド銀行ヘッドオブFXストラテジーの山本正文氏は指摘する,01000000000
854,1,また2月1日に発表される雇用統計が、株式市場復活のきっかけになるかもしれない,01000000000
854,8,今週の注目材料は、FOMCと雇用統計だけではない、第4四半期の国内総生産（GDP）速報値などの経済指標のほか、複数のダウ構成銘柄の四半期決算、米大統領の一般教書演説が予定されている,11000000000
854,11,今週の経済統計のなかで最も重要なのは雇用統計,01000000000
854,12,ロイター調査によると、非農業部門雇用者数は6万3000人増、失業率は5.0％と予想されている,01000000000
854,13,12月には、非農業部門雇用者数は1万8000人増にとどまり、失業率は4.7％から5.0％に大幅に悪化した,01000000000
856,8,一方、上院議員の一部は、食料購入券の配布や失業保険の拡充など、主に低所得者層向けの対策の追加を審議する構えを示している,01000000000
858,10,「雇用統計は前回低い伸びとなった反動が予想されているが、すう勢的に雇用の伸びが低下しているなかで、マイナスに転じる場合にはドル高／円安の圧力が高まろう」とロイヤルバンクオブスコットランド銀行ヘッドオブFXストラテジーの山本正文氏は指摘する,01000000000
873,11,一方、今週は米国で28日の大統領一般教書演説や29─30日の米連邦公開市場委員会（FOMC）をはじめ、1月の雇用統計を含む経済指標などイベントが目白押し,01000000000
1105,0,米労働省が1日発表した1月の雇用統計は、非農業部門雇用者数が1万7000人減少した,01000000000
1105,7,雇用統計は遅行指数であり、とどめをさされた格好だ」と話した,01000000000
1105,8,1月の失業率は4.9％で、12月の5％から若干低下した,01000000000
1110,4,この日発表された1月の雇用統計の弱い内容に対する懸念を認める一方、経済には強い部分もあるとし「経済のファンダメンタルズは強い,01000000000
1110,5,きょうの雇用統計が示すように、われわれは困難な局面にあるが、この局面を乗り切ることができると確信している」と述べた,01000000000
1116,6,ある資本筋は「雇用統計は弱くない」とし、一時的に108円台への上昇を予想する,01000000000
1116,7,しかし、雇用統計が予想を下回った場合「投機筋が1.50ドル乗せを狙ってユーロ買い／ドル売りに動く可能性が高い」（外銀）と指摘される,01000000000
1261,10,震源地である米国では、昨年10─12月期実質国内総生産（GDP）速報値が年率換算で前期比0.6％増にとどまったほか、1月の雇用統計も非農業部門の就業者数が前月比1万7000人減と厳しい数字となるなど、景気に急ブレーキがかかり始めた,11000000000
1266,1,同総裁は当地での講演で、米経済は2008年上半期に「かなり弱く」なる見通しだとし、失業率は年末までに5.25％に上昇するとの見方を示した,01000000000
1266,8,また、雇用の伸び鈍化を背景に失業率は年内に5.25％に達するとの見方を示した,01000000000
1267,1,同総裁は当地での講演で、米経済は2008年上半期に「かなり弱く」なる見通しだとし、失業率は年末までに5.25％に上昇するとの見方を示した,01000000000
1267,8,また、雇用の伸び鈍化を背景に失業率は年内に5.25％に達するとの見方を示した,01000000000
1271,1,同総裁は当地での講演で、米経済は2008年上半期に「かなり弱く」なる見通しだとし、失業率は年末までに5.25％に上昇するとの見方を示した,01000000000
1271,8,また、雇用の伸び鈍化を背景に失業率は年内に5.25％に達するとの見方を示した,01000000000
1511,0,オーストラリア連邦統計局が14日発表した1月の失業率は4.1％となり、月次統計が始まって以来最低を記録した,01000000000
1511,1,四半期ベースの統計との比較でも、1974年以来の低失業率となる,01000000000
1511,6,「失業率は過去最低を更新しており、RBAが今後もインフレ警戒姿勢を維持することは明らかだ,01000000000
1511,10,ロイターがまとめた市場予想は、就業者数が1万5000人増、失業率が4.3％だった,01000000000
1579,2,当地でビジネスランチに出席した総裁は、労働者の生産性を高め、賃金上昇が失業率やインフレ率の上昇につながらないようにする必要があると述べた,01000000000
1581,3,全ての所得層および年齢層の家計で悲観的見方が広がり、今後1年で実質所得が減少し失業率が上昇するとの見方は50％に達した,01000000000
1593,11,また「米新規失業保険申請件数（21日）は雇用統計の調査週でもあり、増加を示せばドル売りにつながる可能性もある」と指摘している,01000000000
1620,1,1月の「住宅市場の調整が長引き、失業率がいく分高まるなど、景気の減速感が強まりつつある」との見方から、警戒感を強めた,01000000000
