parentid,childid,body,category
101,0,野村証券は6日、2007年第4四半期の上昇相場を受けて湾岸アラブ諸国の株式市場には「割安銘柄」がほとんど見当たらなくなったものの、引き続き同地域の景気拡大の波に乗り遅れまいとする外国人投資家からの資金流入は続く、との見通しを示した,00100000010
191,10,＜日本株から資金移動＞昨年末からの株価下落については、サブプライムローン（信用度の低い借り手向け住宅ローン）問題などファンダメンタルズ要因だけでなく、需給面の影響も大きいとみられている,00100000010
191,12,「付け商い（クロス）的な動きであり、ファンド勢の資金移動ではないか」（大手証券）との見方も出ている,00000000010
281,10,12月のマネーサプライ（通貨供給量、M2＋CD）は前年比2.1％増加となり、11月の同プラス2.0％から伸びが加速した,00000000010
319,10,12月のマネーサプライ（通貨供給量、M2＋CD）は前年比2.1％増加となり、11月の同プラス2.0％から伸びが加速した,00000000010
336,3,世界同時株安でスタートした08年は、分配型を筆頭に、投資先では「質への逃避」から人気が復活した海外債券型やグローバルバランス型が見直され、10兆円規模の資金流入が予想されている,00000000010
336,5,特にサブプライムモーゲージ（信用度の低い借り手向け住宅融資）問題および金商法施行前までの1─8月の資金流入は活発で、この期間にネットで1カ月平均1.5兆円近い資金が流入,00000000010
695,0,低迷続きの国内株式ファンドに、資金流入の兆しがある,00000000010
695,1,野村総合研究所が算出しているNRI─FPIによると、21日の追加型公募投信の資金動向で、国内株式ファンドの資金流入が16─18日までの流出から一転、プラスに転じた,00000000010
695,5,NRIによると、1月の国内株式への資金流入は、4日から9日までは全日とも流入を記録、4営業日で合計102億円が流入した,00000000010
695,9,22─23日と世界的に株式相場は大きく下げたことで、明日以降に状況が判明する両日の国内株式への資金流入状況では、国内株式からの資金流出が予想される,00000000010
704,14,リーマンブラザーズ証券チーフストラテジストの宮島秀直氏によると、海外投資家からは米利下げだけではサブプライムローン（信用度の低い借り手向け住宅ローン）問題を解決できず、1）米国の国内総生産（GDP）の2％程度となる3000億ドルレベルの景気対策、2）中央銀行による大量のインジェクション（資金供給）、3）問題のある金融機関への資金注入──といった政策が必要になるとの指摘が出ているという,10000000010
768,0,津田広喜財務次官は24日の定例会見で、米サブプライムローン（信用度の低い借り手向け住宅融資）問題に関し、日本は銀行が保有しているサブプライム関連商品が金額でみても欧米に比べて大きくないことに加え、銀行の自己資本比率が健全で資金供給が円滑に行われているとし、日本経済や金融システムへの影響は限定的との認識を示した,00000000010
768,5,それ自体の日本経済に対する影響は限定的」とし、「銀行の自己資本比率などを見ても、最近はかなり健全な状況にあり、資金供給が円滑に行われていることも考えれば、（金融）システムそのものに影響を与える状況にはならない」と続けた,00000000010
848,9,省エネ努力など途上国の排出削減への取り組みなどを支援するもので、5年間で累計1兆2500億円（100億ドル）程度の資金供給を可能とする,00000000010
1041,14,さらに2月の7カ国財務相中央銀行総裁会議（G7）で日米欧の協調による資金供給を打ち出すべきだ」と話している,00000000010
1270,0,財務省が7日に発表した1月末の外貨準備高は9960億4400万ドルとなり、前月末から226億7900万ドル増加した,00000000010
1270,8,国別での外貨準備高をみると、比較可能な2007年10月末時点では、中国本土が9276億SDRで首位となり、日本が5957億SDRでそれに次いだ,00000000010
1289,4,一方、今日発表された1月末の外貨準備高は9960億4400万ドルとなり、7カ月連続で過去最高を更新した,00000000010
1528,8,一方、アセットマネジメント部門は同期に162億フランの資金流出となった,00000000010
1652,14,コアパシフィックヤマイチ（香港）のエコノミスト、モールハウ氏は「人民元CNY=CFXSの上昇加速は、国際収支の黒字を背景とした資金流入がもたらした流動性を吸収する手段,00000100010
1652,15,こうした資金流入は依然として、中国のインフレの主な原因となっている」と述べた,10000000010
1661,0,日銀の稲葉延雄理事は衆院財務金融委員会で、経済活性化のために金利を引き上げていく政策の選択肢について「金利を引き上げていくと利子所得の増加や海外からの資金流入も考えられる,00000000010
1710,1,対策は、中小企業に対する資金繰り支援であるセーフティネット保証の期間延長や対象業種の追加、小規模零細事業者に対する国民生活金融公庫の融資制度拡充、政府系金融機関による中小企業の資金需要への配慮などが柱,00000000010
1743,9,日本についても投資対象として注目はしているものの、案件の数が少ないほか、国内金融機関による資金供給が潤沢で収益率が相対的に低く、現時点での魅力はやや乏しいとみている,00000000010
1791,7,エコノミストらは、中国の貿易黒字が削減され資金流入が抑制されるとして、人民元の上昇加速を総じて歓迎している,00000100010
1900,1,2四半期連続の減少で、国内外の株価下落による資産価値の目減りと海外顧客の資金流出が要因とみられる,00000000010
1927,1,商品市場はインフレ懸念を背景に資金流入が続いており、金のほか銅、小麦、コーヒー、ココアが軒並み上昇した,00000000010
1941,11,商品市場への資金流入は、物価を一段と押し上げる要因になる,00000000010
2105,2,1月末の外貨準備高は9960億4400万ドル,00000000010
2124,6,中国は過剰流動性の抑制に向けた取り組みを強化する,00000000010
2124,11,＜マネーサプライ＞中国国家発展改革委員会（NDRC）は、マネーサプライをコントロールするとともに、クレジットの過剰な伸びを抑制する意向,00000000010
2134,8,首相：固定資産投資の増加、マネーと信用の過剰供給、過剰流動性、インフレ圧力に対処するため、引き締め的な金融政策が必要だ,00000000010
2210,0,財務省が7日に発表した2月末の外貨準備高は1兆0079億8100万ドルとなり、前月末から119億3700万ドル増加した,00000000010
2210,2,外貨準備高の増減に影響を与えそうな要因をみると、ユーロ／ドル相場の月末終値（東京市場）は1月の1.4858ドルから、2月は1.5232ドルに上昇した,00000000010
2210,4,昨年11月末時点の諸外国の外貨準備高をみると、1位は中国の9433億SDR、2位は日本の5988億SDR、3位はロシアの2848億SDR、4位は台湾の1703億SDRなどとなっている,00000000010
2211,7,財務省が7日に発表した2月末の外貨準備高は1兆0079億8100万ドルとなり、初めて1兆ドルの大台に乗せた,00000000010
2267,0,日銀が午前8時50分に発表した2月のマネーサプライ（通貨供給量、M2＋CD）は、前年比2.3％増加となり、1月の同2.1％増より伸び率が拡大した,00000000010
2277,0,日銀が午前8時50分に発表した2月のマネーサプライ（通貨供給量、M2＋CD）は、前年比2.3％増加となり、1月の同2.1％増より伸び率が拡大した,00000000010
2337,12,市場には米連邦準備理事会（FRB）が7日から大量の資金供給を実施したのも信用リスクを見越したからではないかとの思惑が広がっている,00000000010
2364,3,資金繰り懸念を払しょくすることで、資金需要が増大する3月末を乗り切れば、4月に入っても信用市場の動揺を抑えることができるのではないか,00000000010
2387,1,今回の資金供給は資金繰りに詰まった投資ファンドの救済が狙いで、金融市場でくすぶるサブプライム問題や米景気の不透明感が一気に解消に向かうわけではないとの声が出ている,00000000010
2387,16,資金供給が「短期筋のドル売りポジションを叩き切るだけのサプライズはあった」（別の外銀の円相場担当者）だけに、上昇が勢いづけばドル売りポジションが一段と巻き戻される形でドルがさらに上昇する可能性を指摘する声もある,00000000010
2435,3,ドル安を背景にコモディティへの資金流入が続いている,00000000010
2464,5,11日に発表された米連邦準備理事会（FRB）などの資金供給策を受けて「資金供給と利下げは金融政策としてセットで実施すべきもの」（外銀）として、市場では0.75％予想も増えている,00000000010
