parentid,childid,body,category
24,1,米供給管理協会（ISM）製造業景気指数の50割れや、原油価格の初の100ドル乗せを嫌気した売りに押された,00000000001
27,1,同理事は、OPECは日量50万バレルの増産を行う余地があるとし、原油価格は一段と上昇する可能性があると警告,00000000001
27,2,「原油価格は（1バレル）100─110ドル水準に上昇する可能性がある」と述べ、石油資源を持たない新興国の経済成長が損なわれると指摘した,00000000001
27,3,その上で「いったんそうなれば、新興国の購買力の弱さから、原油価格は下落に転じるはずだ」と付け加えた,00000000001
31,7,この日は米エネルギー情報局（EIA）の週間在庫統計で原油在庫が大幅に減少したことが明らかになると、米原油先物は100ドルを突破した,00000000001
35,0,国際エネルギー機関（IEA）のラムゼー事務局次長は3日、過去最高値に上昇した原油価格に対処するために、石油備蓄を取り崩すことはない、との見解を示した,00000000001
36,0,3日の米商品市場では原油が一時1バレル＝100.09ドルをつけ、史上最高値を更新した,00000000001
36,1,米エネルギー省エネルギー情報局が発表した週間石油在庫統計では、原油在庫が大幅に減少した,00000000001
36,3,原油が100ドルをつけるのは2日連続,00000000001
36,5,欧州委員会の報道官は、記者会見で「原油価格は相当上昇してきた,00000000001
36,7,原油価格は2007年に57％上昇,00000000001
36,9,ブッシュ米大統領は、原油がバレル当たり100ドルをつけたことについて、懸念を表明する一方で、非常時用に備蓄した戦略石油備蓄（SPR）を放出するほどの緊急事態ではない、との考えを示した,00000000001
37,6,今週1バレル＝100ドルをつけた原油価格の上昇やサブプライムモーゲージ（信用度の低い借り手向け住宅ローン）危機の波及により米経済がリセッション（景気後退）に陥る可能性を懸念するエコノミストが増えている,00000000001
37,7,ブッシュ大統領は「100ドルに達した原油価格は、需給を反映している,00000000001
39,5,米供給管理協会（ISM）製造業景気指数の50割れや、原油価格の初の100ドル乗せを嫌気した売りに押された,00000000001
44,6,原油価格は1バレル＝100ドルに上昇しており、こうした原油高に加え、米住宅市場の悪化により、米経済が08年にリセッション（景気後退）入りし、消費者が新車などの高額の買い物を控える可能性があるとの懸念が浮上している,00000000001
46,2,年初の米株式市場で株安の展開になっていることに加え、原油が1バレル＝100ドルを超す高値を付け、円高も加わって株式市場では買い手不在になっている,00100000001
46,9,ただ、原油価格などは100ドルの大台を超えたことでいったん達成感も出るのではないか」（SMBCフレンド証券投資情報部次長の松野利彦氏）との声が出ていた,00000000001
