parentid,childid,body,category
404,5,SBIイートレード証券が2004年11月に新規公開（IPO）上場した際は、独自の資金調達手段の確保や金融機関としての信用力向上が主な目的だったが、その後は社債や公募増資での資金調達や銀行によるシンジケートローン（協調融資）などで資本増強が進み、IPO時に比べると上場メリットが薄れたことも背景にある,00100001000
563,3,アンバックは16日、格付けを維持するため、株式または転換社債の発行による10億ドルの資本調達計画を発表していた,00000001000
996,6,また、短期国債の価格は一時的に上昇、米ドル相場は下落した,00000001000
1049,7,また、ソニー生命が運用している株式や転換社債などの評価損益が日本の株式市場の下落を受けて悪化,00100001000
1585,0,米財務省が15日発表した12月の海外投資家による対米証券投資は、買い越し額が604億ドルとなり、前月の半分以下に縮小した,00100001000
1847,5,借入金は1199億円増の57兆0366億円、政府短期証券は2229億円増の102兆3269億円となった,00000001000
2105,4,為券は政府短期証券（FB＝Financing Bills）の一種で国の債務,00000001000
2207,4,2兆6000億ドルの規模を持つ米地方債市場は、個人投資家や保険会社、通常は社債に投資する向きの押し目を狙う動きで2月29日以降、戻り歩調となっている,00000001000
2239,10,モーゲージ債（MBS）や資産担保証券（ABS）価格も下落する一方、社債のクレジットデフォルトスワップ（CDS）プレミアムは急上昇、金利スワップスプレッドも過去最大となった,00000001000
2286,11,さらに、2003年から2004年にかけて大規模なドル買い介入を行っていた当時は、政府短期証券（FB）の調達コストが現在に比べかなり低かった,00010001000
2297,14,さらに、1兆ドルにのぼる日本の外貨準備を支える政府短期証券（FB）の調達コストが、大規模介入をしていた当時に比べかなり高くなったことも、政府日銀が為替介入に踏み切れない要因の1つであるとの見方もある,00000001000
2308,8,また、ベアースターンズ株やプットオプションも活発に取引されたほか、社債の利回りはジャンク級の水準へ上昇した,00000001100
2308,9,ベアースターンズの社債は大幅安となった,00000001000
2308,10,マーケットアクセスによると、表面利回り6.4％、償還期限2017年の同社債は額面1ドルあたり0.808ドルと、約0.03ドル安,00000001000
2507,2,社債の買い戻しも行う,00000001000
2507,8,エールフランスKLMは、6億0800万ユーロを投じて、アリタリア航空の社債を買い戻すことも提案した,00000001000
2538,0,米財務省が発表した1月の海外投資家による対米証券投資は374億ドルの買い越しとなった,00100001000
2538,7,証券別では財務省証券の買い越し額が拡大する一方、株式や社債は縮小,00000001000
2660,4,バーラキャピタル（シカゴ）のシニアポートフォリオマネジャー、ピータービソールド氏は「大規模なフローと数年分に相当するディールの解消が起こっている」と述べ、ファンドの中には、リスクエクスポージャーを減らすために安全な政府債や高格付けの社債を売っている向きもいる、と指摘した,00000001000
2696,7,結局赤字国債を大量に増発し、次の世代に負担を先送りすると言うことではないのか」と批判した,00000001000
2737,4,一方、長期国債の買い入れについては「あくまでも円滑な資金供給という金融市場調節上の必要に基づいて実行している,00000001010
2751,12,日本株（全般／小型株）、外国株、新興国株、日本国債、外国債券、事業債（投資適格債）、短期金融商品（現金）、円（対ドル）、不動産の10分野の資産クラスの中で、強気比率が最も高かったのが日本株（全般）で新興国株と日本株（小型株）が53％で続いた,00100001000
