head,date,body,category
米大統領選アイオワ州党員集会、共和党はハッカビー氏が勝利＝報道,2008/01/4,2008年の米大統領選挙の共和、民主両党の候補者を選出する予備選の第1弾アイオワ州党員集会について、FOXニュースは共和党はハッカビー前アーカンソー州知事が勝利したと伝えた。CNNとABCは、2位はロムニー前マサチューセッツ州知事と伝えている。,1
米大統領選アイオワ州党員集会、民主党はオバマ氏が勝利＝報道,2008/01/4,米NBCは、2008年米大統領選挙の候補者を選出する予備選の第1弾アイオワ州党員集会について、民主党はオバマ上院議員が勝利したと伝えた。,1
米大統領選アイオワ州党員集会、民主オバマ共和ハッカビー氏勝利,2008/01/4,米大統領選（11月4日投票）の共和、民主両党の指名候補を選出するための予備選が3日、アイオワ州党員集会でスタートしたが、民主党はオバマ上院議員、共和党はハッカビー前アーカンソー州知事がそれぞれ勝利した。国内メディアが伝えた。両党候補者の支持率調査ではこれまで、民主党はヒラリークリントン上院議員、共和党はロムニー前マサチューセッツ州知事らが優位に立っていた。しかし、一時劣勢が伝えられていたオバマ、ハッカビー両候補は巻き返しをはかり、最初の党員集会を制した。バプテスト教会の牧師だった経歴を持つハッカビー氏は、選挙資金面では圧倒的に優位に立つ富豪のベンチャー投資家でもあるロムニー氏を寄せ付けなかった。オバマ氏は、クリントン上院議員のほか、エドワーズ元上院議員との三つ巴の接戦を制したが、2位はまだ確定していない。アイオワ州の党員集会は州内1700カ所以上で行われ、今後各州での予備選が本格化する。共和党ではハッカビー氏が予想外の勝利となったが、接戦でこれまでどの候補も自分がトップと宣言できない状態が続いていた同党の候補者選びに大きな変化が起きることになる。アイオワ州はキリスト教右派の有権者が多く、ハッカビー氏の勝利につながったとみられている。,1
北朝鮮、「戦争抑止力」を高めると表明,2008/01/4,北朝鮮は4日、戦争抑止力を高めると表明した。前日には米政府が、昨年末としていた核計画の申告期限を北朝鮮が守らなかった問題への対応を協議するため、ヒル米国務次官補（東アジア太平洋担当）をアジアに派遣すると発表している。北朝鮮の労働党機関誌労働新聞は「米国が核戦争を始めようとしていることに対応し、われわれは戦争抑止力を一段と高める」と論じた。米国務省は、ヒル氏が来週、アジアとロシアを歴訪すると発表した。,1
米大統領選アイオワ州党員集会、民主党はオバマ候補が勝利,2008/01/4,大統領選挙に向けて3日に全米トップを切ってアイオワ州で行われた党員集会で、民主党はオバマ候補が勝利を収め、初の黒人大統領誕生に向けて大きく前進した。一方、一時は大統領候補として最有力視されていたクリントン候補はエドワーズ候補にも及ばず3位に終わり、大きな痛手を受けた。一方、共和党ではハッカビー候補が一時はリードしていたロムニー候補を抑え、トップに立った。民主党の党員集会を制したオバマ候補は「われわれは恐怖よりも希望、分裂よりも団結を選び、米国に変化が近づきつつあるという強力なメッセージを送った」と述べた。共和党のハッカビー候補も支持者を前に「今夜、米国の政治に新たな日が訪れた。米国の政治は皆さんのような人々が手にしていることが示された」と語った。今後の焦点は8日に行われるニューハンプシャー州の予備選に移る。民主党ではアイオワ州で3位に甘んじたクリントン候補にとって、形勢を立て直すために大きな重圧がかかることになる。一方、オバマ候補にとってはニューハンプシャー州でも勝利を収めれば、指名獲得に向けてさらに基盤が固まる。また、民主党ではアイオワ州の結果を受けて、ドッド候補とバイデン候補が指名争いから撤退する考えを表明した。民主党の得票率はオバマ候補が38％、エドワーズ候補が30％、クリントン候補が29％、リチャードソン候補が2％だった。共和党では、ハッカビー候補が34％、ロムニー候補が26％、マケイン候補とトンプソン候補がともに13％、ポール候補が10％だった。,1
アルカイダの米国人メンバー、ブッシュ大統領への攻撃呼び掛け,2008/01/7,アルカイダの米国人メンバーであるアダムガダーン容疑者は、6日インターネット上で放映された映像のなかで、今週中東を訪問するブッシュ米大統領を「爆弾で歓迎する」ようイスラム教過激派に呼び掛け、カメラに向け自身の米国パスポートを引き裂いた。50分に及ぶビデオ映像はほぼ英語で収録されており、同容疑者はこのなかで「彼を花束と拍手ではなく、爆弾と罠で迎えよう」と述べた。また、米国で収監されているイスラム教徒が釈放されるまで米国に対する聖戦は続くと述べた。,1
クリントン氏、オバマ氏の「変革」に批判強めるが効果薄,2008/01/7,米大統領選予備選初戦の民主党アイオワ州党員集会でオバマ上院議員らに敗れたヒラリークリントン上院議員は、8日のニューハンプシャー州予備選で巻き返しを図るため、オバマ氏の主張する「変革」を批判したが、期待していたような結果は得られていないようだ。一方、接戦の共和党側は、ロムニー前マサチューセッツ州知事が、マケイン上院議員に対して舌戦を展開した。4日のアイオワ州党員集会で敗退したクリントン、ロムニー両候補は、ニューハンプシャー州予備選で劣勢ばん回を狙っているが、両党とも選挙戦が対立候補を攻撃するネガティブキャンペーンの様相に転じている。同州で前日行われた討論会で、クリントン氏はオバマ氏が主張する「米国の変革」に不満を募らせ批判したが、6日当地での集会でも「口舌の徒ではなく実行家を指名し選出することによって、変革はもたらされる」と述べ、オバマ氏に対し一段と強硬姿勢で臨む戦略に転じた。また、エドワーズ元上院議員も含め、山積する問題にリーダーシップを発揮していないと述べ「それは変革ではない」と主張し、集会では支持者もそれに呼応した。オバマ氏はこれに対し「これまでの選挙戦で希望について語る私はからかわれ、冷笑されてきた。昨夜も対立候補の1人が、何が達成可能なのかについて米国民に『偽りの期待』を持たせることは止めるべきだと示唆した。それは一体どんな種類のアジェンダなのか」と反論した。一方、ニューハンプシャー州予備選で上位に入る必要がある共和党のロムニー候補は当地での集会で、民主党のオバマ氏に対抗するにはマケイン候補は力量不足と指摘した。,1
米大統領選、ワイオミング州の共和党党員集会でロムニー氏が勝利,2008/01/7,11月の米大統領選に向けた共和党の候補指名争いで5日、ワイオミング州の党員集会が行われ、ロムニー前マサチューセッツ州知事が勝利した。ロムニー氏は、アイオワ州党員集会でハッカビー前アーカンソー州知事に敗北しているだけにワイオミング州での勝利は今後への弾みとなった。2位はトンプソン元上院議員、3位はハンター下院議員。ただ、指名争いの焦点は、すでに8日のニューハンプシャー州予備選に移っている。ワイオミング州は人口約52万人と米国で最も人口が少ない州のため、過去の大統領選では多くの候補に無視されてきたが、共和党が今年、党員集会の日程を早めて注目を集める戦略をとった。,1
ホルムズ海峡でイラン高速艇が米軍艦船を威嚇＝米国防総省,2008/01/8,米国防総省は7日、ペルシャ湾のホルムズ海峡で現地時間5日夜から6日未明にかけイラン革命防衛隊の艦船5隻が、米海軍艦船3隻に至近距離まで接近し、威嚇行為を行ったことを明らかにした。国防総省のホイットマン報道官によると、米海軍艦船3隻がホルムズ海峡の公海を航行中、イランの高速艇5隻が接近し威嚇行動をとった。明らかに武装していた高速艇もあったという。これを受けて米艦船も警告を発し対抗措置をとる態勢に入っていた。国営イラン通信によると、イラン側もこの事態を確認。外務省報道官は、5日の事態は過去のケースと類似のもので、通常のことだと述べた。国防総省当局者によると、イラン側は無線で「数分以内に爆発する」と警告。イランの高速艇が艦船から離れたときは、米軍司令官が砲撃命令を出すところだったという。ホイットマン報道官は、敵対行為ともみられる思慮に欠ける行為であり深刻な事態とし、イラン政府は説明すべきと述べた。米国家安全保障会議（NSC）のジョンドロー報道官は「イランに対し、危険な事態に発展する恐れのあるこのような挑発的行為を慎むよう強く求める」と述べた。,1
米ニューハンプシャー州、オバマ氏支持率がクリントン氏をリード＝調査,2008/01/8,ロイター／Cスパン／ゾグビーによる世論調査によると、米大統領選挙の予備選を8日に控えたニューハンプシャー州で、米民主党オバマ候補の支持率がクリントン候補を10ポイント上回った。共和党のトップはマケイン候補で、ロムニー候補を5ポイント上回った。アイオワ州党員集会後にニューハンプシャー州全体を対象に実施された世論調査はこれが初めて。オバマ候補の支持率は11ポイント上昇して39％。かつて同州での支持率トップだったクリントン候補は29％、エドワーズ候補は19％だった。ゾグビーのジョンゾグビー最高経営責任者（CEO）によると、オバマ候補の支持率は5日の討論会後も上昇。無党派層によるリードが拡大しているほか、若者や穏健派、組合員の間でも優勢となっている。調査は4日から6日にかけて予備選で民主党に投票予定の844人、共和党に投票予定の834人を対象に実施された。共和党では、マケイン候補の支持率は34％、ロムニー候補は29％。アイオワ州党員集会でトップだったハッカビー候補は10％に若干後退、ジュリアーニ候補は9％だった。,1
