head,date,body,category
現閣僚に引き続きやってもらいたい＝内閣改造で首相,2008/01/4,昨年末の同行記者団との懇談を受けて、内閣改造を行うと報じられたことについて「私が申し上げたこととは意に反することだ」と指摘した上で、現時点での考えについて「今の閣僚には政策課題に取り組んでもらっている。就任してまだ日が浅い人もいる。いろいろ考えると、今の閣僚に引き続きやっていただきたい」と述べた。また、臨時国会閉会から通常国会召集の間隔が非常に短いことも挙げ「こういうときに、改造すべきかどうかも考えていた」と述べ、否定的な見方を示した。一方で「もちろん改造したほうがよいとの意見もたくさんあった」とも語り、「そういう意見もよく聞きながら、その中には、現状でこういう風にしたらよいのでないかとの積極的前向きな意見もあった。そういうことは取り入れ、より良い、充実した内容をこれから実行していく」と語った。＜大連立構想、政策課題実行できる体制作りかがポイント＞衆院解散総選挙や民主党などとの大連立の可能性に関し「私が今考えていることは、政策課題を実施すること。同時に2008年度予算案を3月末前に成立させることである」と指摘。国民生活への悪影響を回避することを最優先に「それが実行できるようなことであれば、いろいろな方策を講じていく」と語った。そのうえで「大連立をするかしないかは、政策課題を実行できるような体制を組めるかどうか。この1点にかかる。大連立を最初から考えて何かしようということでなく、政策実行するためにどういう体制が望ましいかまず考えたい」とし、野党第1党の民主党との政策協議を働きかけていく考えを示した。＜消費者主役の初年度に＞,10
米住宅価格、長期にわたり「著しく」下落する可能性＝FRBエコノミストら,2008/01/4,米連邦準備理事会（FRB）のエコノミストとウィスコンシン大学教授は、米国の住宅価格は今後何年にもわたって「著しく」下落する可能性がある、とのリポートをまとめた。住宅価格に対する賃貸料の比率が長期的な平均水準に向けて緩やかに上昇すると見込まれるためという。リポートを執筆したのは、FRBのエコノミストであるアンドレアスレナートおよびロバートマーチン両氏とウィスコンシン大学のモリスデービス教授。リポートは「もし住宅価格に対する賃貸料の比率が2006年末の水準から2012年半ばまでに歴史的な平均である5％に上昇すれば、住宅価格は年間3％下落する可能性がある」と指摘、その予測は「予測というより単純な計算」だとしている。各氏は、保有者が自ら居住している住宅の価値に対する賃貸料の比率を1960年まで遡って調査。その比率は株価水準を判断する株価収益率と同じ手法で住宅のバリュエーションを判断するもので、住宅価格を評価するうえで重要な指標になるとしている。それによると、その比率は1960年から95年まで5―5.5％のレンジで推移していたが、その後は急速に低下し、2006年末までに3.5％となった。しかし、2007年前半になって再び上昇に転じ、最新のデータに基づけば、今後も上昇が続くと予想されるという。,10
米ワーナーブラザーズ、高画質DVD規格を「ブルーレイ」に一本化,2008/01/5,米メディア大手タイムワーナー(TWX.N)傘下の映画会社ワーナーブラザーズは4日、高画質DVDをソニー(6758.T)などが推進する規格「ブルーレイ」に一本化して発売する方針を明らかにした。ワーナー映画のDVD販売は米国内1位で18―20％のシェアを有している。ワーナーは東芝(6502.T)などが進める「HD―DVD」規格も平行して採用している数少ない製作会社の1つだったことから、HD―DVD陣営に打撃になるとみられている。ワーナーはHD―DVD規格の発売を5月まで継続する方針。,10
米ゴールドマンとJPモルガン、1月FOMCで50ｂｐの利下げを予想,2008/01/5,米ゴールドマンサックス(GS.N)とJPモルガン(JPM.N)は4日、12月米雇用統計が予想よりも弱い内容となったことを受け、1月の連邦公開市場委員会（FOMC）で50ベーシスポイント（ｂｐ）の利下げが決定されるとの見方を示した。ゴールドマンは、米連邦準備理事会（FRB）が臨時会合で何らかの措置を取る可能性もあるとしている。1月以降については、ゴールドマンは、FRBが25ｂｐずつ3回の利下げを実施し、金利を年央までに3％に引き下げると予想。JPモルガンは、3月に25ｂｐの利下げを予想している。JPモルガンはまた、2007年第4四半期の成長率予想を従来の1.5％から2％に上方修正した。一方、08年第1四半期は1％から横ばいに下方修正した。,10
米住宅市場の落ち込み、年央までに和らぐ見通し＝ラジア経済諮問委員長,2008/01/5,米大統領経済諮問委員会（CEA）のラジア委員長は4日、米住宅市場の低迷が年央までに和らぎ、経済は力強さを増すとの見通しを示した。ラジア委員長はCNBCテレビとのインタビューで「住宅市場は過去1年半、経済成長の大きな足かせとなってきたが、いずれ底入れする。そうなれば経済への悪影響がなくなる」と述べた。その上で「住宅市場は、恐らく向こう半年以内にマイナス要因ではなくなるだろう」と語った。この日発表された12月の米雇用統計は、非農業部門の雇用者数が1万8000人の伸びにとどまった。同委員長は「数字は低いがまちまちの内容だ。賃金が力強く明るさもうかがえる。賃金の伸びが続いているのは通常、労働市場がタイトであることを示している」と指摘した。景気認識については、インフレがやや上昇しているものの高水準ではなく、雇用個人消費設備投資はこれまでほど高くはないが低いともいえないとし「こうした状況を、米連邦準備理事会（FRB）は多少均衡した状態と考えていると思う」と述べた。ブッシュ大統領は3日、ホワイトハウスで行われたロイターとのインタビューで、米経済を支援するため、景気刺激策を実施する可能性について検討していることを明らかにした。ただ、まだ決定はしていないとした。ラジア委員長はブルームバーグテレビとのインタビューで、政府としてあらゆる景気刺激策を検討しているが、特定のセクターを対象とせず「中立的」な方策をとることが望ましい、と語った。,10
FOMCメンバーの見解、不透明な状況でばらつき＝米FRB副議長,2008/01/6,米連邦準備理事会（FRB）のコーン副議長は5日、FRBの政策メッセージが連邦公開市場委員会（FOMC）メンバー間の意見の相違により不透明になっていることを認めたうえで、市場はそれに順応していかなければならない、との認識を示した。報道各社に事前に公表された米国経済学会年次総会での講演原稿で、コーン副議長は「メッセージのばらつきは、FRBの見解について明確なガイダンスを求める市場参加者を困惑させている」と述べた。FRBに対しては、利下げをしておいてFOMCの声明文ではインフレリスクを警告することでハト派姿勢とタカ派姿勢を並存させているとの批判がでている。また、それがFOMCメンバーの足並みの乱れを示唆するとして、懸念材料にもなっている。FRBが住宅市場の落ちこみから景気後退リスクが高まっている米経済を支援するためにどの程度利下げするかについて疑問が生じるからだ。副議長は、謝罪はせず、健全な討議は自然でよりよい政策選択につながると主張。「FOMCメンバーがスケジュールやメッセージを調整することはなく、現在のように、状況が急速に変化していたり、さまざまな分析に左右される局面では、各メンバーの見解が多様化する可能性があることを人々は理解すべきだ」と述べ、「FOMCでの意見の多様性は、FOMCの強みの一つであり、健全な決定を導くために極めて重要である」と指摘した。FRBは、1月29─30日にFOMCを開催する。4日に発表された12月の米雇用統計で失業率が5％に上昇したことで、50ベーシスポイント（ｂｐ）の利下げがある、との観測が高まっている。コーン副議長は「現在のようにFOMCが不透明感が強いと考えているときは、新たな情報により大きなウエートを置き、予想を修正することに前向きになる必要があるかもしれない」とし、政策決定は、経済が最もありそうな予測とかなり違ってくるという多大なリスクを考慮する可能性を示した。,10
市場安定化措置と物価安定目的の金融政策は切り離すべき＝ECB副総裁,2008/01/6,欧州中央銀行（ECB）のパパデモス副総裁は5日、金融市場を秩序ある状態にするための措置は、インフレ抑制を狙った政策と切り離しておく必要があると述べた。パパデモス副総裁は講演を終えた後、記者団に「物価安定を守ることに関連する金融政策があいまいになるのを回避するのが非常に重要で、短期金融市場のオペレーションは、同市場を秩序ある状態にすることが目的で、金融市場の安定確保に関係している」と述べた。また、最近の対ドルでのユーロ高についてはコメントを差し控えた。,10
米アナリスト、米企業決算について悲観的見方強める＝調査,2008/01/7,ロイターエスティメーツが7日明らかにした週間調査によると、米ウォールストリートのアナリストは、2007年第4四半期の米企業決算について悲観的な見方を強めており、08年第1、第2四半期についても増収率予想を下方修正した。調査によると、アナリストはS&P総合500種構成企業の07年第4四半期の利益について、前年比8.4％減少と予想。前週調査の6.1％減少、昨年10月1日調査の11.5％増加から見通しが悪化した。08年第1、第2四半期の利益については、それぞれ4.7％と4.6％の増加にとどまると予想。前週の調査ではそれぞれ5.1％増と5.0％増、10月1日の調査では11.4％増と9.4％増の予想となっていた。業種別では金融セクターの業績悪化がもっとも著しいとみられており、第4四半期は62％減益と予想されている。一方、ハイテクセクターは最も堅調とみられており、23％の増益が予想されている。,10
米経済基盤は強いが成長は当然視できない＝ブッシュ大統領,2008/01/8,ブッシュ米大統領は7日、米経済について、住宅市場の低迷、金融市場の混乱、原油高の衝撃に耐えられる状態だが、景気が引き続き拡大するかどうかは不透明との認識を示した。大統領は「経済基盤は強いが、経済成長を当然視することはできない」とし、「住宅市場の低迷、エネルギー価格の上昇、一部金融市場の調整からくる経済的な課題に直面している」との考えを示した。大統領はまた、米経済指標の内容が強弱まちまちとなっていることを踏まえ、現政権下で導入された減税措置を恒久化するよう議会に求めた。先行き不透明感が高まるなか、雇用拡大の最前線にいる起業家が増税はないと確信できることが極めて重要と指摘。「現政権はその権限を行使して税金を低く抑える」と語った。,10
米住宅市場の低迷、長期にわたり経済の足かせに＝財務長官,2008/01/8,ポールソン米財務長官は7日、国内住宅市場の低迷は雇用見通しを悪化させているとの見方を示すとともに、長期にわたり経済の足かせとなるだろうと述べた。長官は講演の準備原稿で「今後数週間、あるいは数カ月に一段の経済指標から成長減速が示唆される可能性が高い」と指摘。住宅販売在庫の積み増しは調整を長引かせるとし、間違いなく最大の下向きリスクになっていると述べた。住宅着工および販売が大幅に減少しているとし、高水準の販売在庫は価格調整が依然として完了していないことを示唆していると語った。,10
